ic,name,direction,GENCONSETID,tier,treated_intervals,treated_binds_and_sets,treated_binds_only,treated_sets_only,treated_neither,control_intervals,control_binds_and_sets,control_binds_only,control_sets_only,control_neither
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,indicative,336,0.0,0.0,0.0,1.0,726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,336,0.23511904761904762,0.002976190476190476,0.23511904761904762,0.5267857142857143,726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,I-BCDM_ONE,unsupported,156,0.20512820512820512,0.0,0.3525641025641026,0.4423076923076923,360,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,I-BCDM_ONE,unsupported,156,0.0,0.42948717948717946,0.0,0.5705128205128205,360,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-ARDM_8C,supported,18070,0.22523519645821805,0.5915882678472607,0.00752628666297731,0.175650249031544,19392,0.0,0.0,0.010468234323432343,0.9895317656765676
NSW1-QLD1,QNI,reverse,N-ARDM_8C,supported,18070,0.0996126175982291,0.03907028223574986,0.27515218594355284,0.5861649142224682,19578,0.016395954642966594,0.00010215548064153642,0.04076003677597303,0.9427418531004188
NSW1-QLD1,QNI,forward,N-ARKS_965,indicative,900,0.0,0.0,0.0,1.0,1782,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-ARKS_965,indicative,900,0.0,0.0,0.08,0.92,1998,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-ARSR_8E,supported,10915,0.6288593678424187,0.18827301878149336,0.09482363719651855,0.0880439761795694,8886,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-ARSR_8E,supported,10928,0.14687042459736457,0.013268667642752563,0.5927891654465594,0.24707174231332357,9012,0.00721260541500222,0.0,0.04538393253439858,0.9474034620505992
NSW1-QLD1,QNI,forward,N-ARTW_86,supported,4314,0.01808066759388039,0.021557719054242003,0.005563282336578581,0.954798331015299,3672,0.0,0.013616557734204794,0.0,0.9863834422657952
NSW1-QLD1,QNI,reverse,N-ARTW_86,supported,4314,0.0,0.017153453871117292,0.022253129346314324,0.9605934167825684,3684,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-AVMA_17,supported,7968,0.0,0.0,0.0,1.0,13871,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-AVMA_17,supported,7968,0.01694277108433735,0.0,0.012550200803212851,0.9705070281124498,13817,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-CHKS_ONE,supported,2388,0.0,0.0,0.0,1.0,4061,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-CHKS_ONE,supported,2388,0.04103852596314908,0.008375209380234505,0.1670854271356784,0.783500837520938,4128,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-DMSR_8J,supported,8370,0.07108721624850657,0.5359617682198328,0.06415770609318996,0.32879330943847074,7347,0.0004083299305839118,0.0031305294678099903,0.0004083299305839118,0.9960528106710221
NSW1-QLD1,QNI,reverse,N-DMSR_8J,supported,8370,0.07347670250896057,0.015890083632019117,0.24826762246117084,0.6623655913978495,7371,0.007190340523673857,0.0,0.03554470221136888,0.9572649572649573
NSW1-QLD1,QNI,forward,N-DTMN_8_15M,supported,3959,0.0,0.0,0.0,1.0,7488,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-DTMN_8_15M,supported,3959,0.004294013639808032,0.0005051780752715333,0.002020712301086133,0.9931800959838343,7500,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-DTSS_11,supported,5808,0.0,0.0,0.0,1.0,8213,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-DTSS_11,supported,5808,0.0,0.0,0.0030991735537190084,0.996900826446281,8171,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-LDTM_82,supported,15605,0.011214354373598205,0.0030118551746235183,0.3220121755847485,0.6637616148670298,15904,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-LDTM_82,supported,15605,0.059019545017622556,0.0021147068247356618,0.17020185837872476,0.768663889778917,15646,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-LDTW_84,supported,2556,0.10093896713615023,0.0,0.10406885758998435,0.7949921752738655,2418,0.0028949545078577337,0.0,0.0016542597187758478,0.9954507857733664
NSW1-QLD1,QNI,reverse,N-LDTW_84,supported,2556,0.0,0.0,0.0,1.0,2448,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-MA_CB172A,unsupported,4109,0.0,0.0,0.0,1.0,3365,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-MA_CB172A,unsupported,4109,0.0,0.0,0.0,1.0,3347,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-MPWW_ONE,unsupported,5015,0.0,0.0,0.0,1.0,6203,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-MPWW_ONE,unsupported,5015,0.00259222333000997,0.0005982053838484546,0.0,0.9968095712861416,6227,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-TWUL_85,supported,3563,0.052203199550940216,0.07100757788380578,0.05360651136682571,0.8231827111984283,6300,0.0,0.00873015873015873,0.0,0.9912698412698413
NSW1-QLD1,QNI,reverse,N-TWUL_85,supported,3563,0.02638226213864721,0.0,0.07942744877911873,0.8941902890822341,6306,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_10+76,unsupported,36,0.0,0.0,0.6111111111111112,0.3888888888888889,54,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_10+76,unsupported,36,0.0,0.0,0.0,1.0,54,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_3L+11_WG_CLOSE,unsupported,876,0.0,0.0,0.0,1.0,726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_3L+11_WG_CLOSE,unsupported,876,0.0,0.0,0.0182648401826484,0.9817351598173516,816,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_4+17_WG_CLOSE,unsupported,516,0.003875968992248062,0.0,0.4437984496124031,0.5523255813953488,1272,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_4+17_WG_CLOSE,unsupported,516,0.03682170542635659,0.0,0.031007751937984496,0.9321705426356589,1254,0.004784688995215311,0.0,0.0,0.9952153110047847
NSW1-QLD1,QNI,forward,N-X_76_8,unsupported,54,0.0,0.0,0.7222222222222222,0.2777777777777778,270,0.0,0.0,0.0,1.0
