ic,name,GENCONSETID,lead_forward,lead_reverse,invoked_share,relevant,excluded_reason
NSW1-QLD1,QNI,#R032191_RAMP,10,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032207_RAMP,10,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032210_RAMP,0,12,9.037290715372907e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032220_RAMP,9,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032256_RAMP,0,1,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032271_RAMP,0,1,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032280_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032288_RAMP,0,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032290_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032292_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032295_RAMP,0,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032299_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032301_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032308_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032310_RAMP,2,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032388_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032397_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032413_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032478_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032498_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032518_RAMP,0,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032548_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032655_RAMP,0,6,2.8538812785388127e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032717_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032724_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032732_RAMP,9,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032740_RAMP,12,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032743_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032762_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032872_RAMP,7,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032886_RAMP,5,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032888_RAMP,0,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032894_RAMP,1,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032903_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032926_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032927_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032936_RAMP,0,6,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032986_RAMP,0,7,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033023_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033024_RAMP,0,6,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033029_RAMP,13,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033042_RAMP,0,3,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033043_RAMP,0,7,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033045_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033046_RAMP,0,3,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033064_RAMP,0,3,4.756468797564688e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033065_RAMP,0,7,4.756468797564688e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033112_RAMP,10,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033118_RAMP,7,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033123_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033126_RAMP,1,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033132_RAMP,0,11,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033139_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033185_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033192_RAMP,0,12,0.00014745053272450533,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033247_RAMP,0,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033267_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033284_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033288_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033296_RAMP,6,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033335_RAMP,0,5,2.378234398782344e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033340_RAMP,0,6,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033392_RAMP,0,11,9.037290715372907e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033444_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033458_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033464_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033470_RAMP,11,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033476_RAMP,2,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033480_RAMP,11,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033491_RAMP,6,10,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033494_RAMP,0,3,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033500_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033502_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033506_RAMP,0,4,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033530_RAMP,0,5,2.378234398782344e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033536_RAMP,0,4,1.9025875190258754e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033539_RAMP,0,9,4.280821917808219e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033557_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033565_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033612_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033616_RAMP,0,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033638_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033674_RAMP,10,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033710_RAMP,11,0,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033772_RAMP,11,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033852_RAMP,13,7,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033863_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033895_RAMP,3,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033897_RAMP,6,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033905_RAMP,6,0,2.8538812785388127e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033906_RAMP,13,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033910_RAMP,3,3,1.4269406392694063e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033913_RAMP,7,0,3.3295281582952815e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033916_RAMP,7,1,3.3295281582952815e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033917_RAMP,1,0,4.756468797564688e-06,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033919_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033927_RAMP,9,9,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R033999_RAMP,12,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034034_RAMP,5,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034056_RAMP,0,2,9.512937595129377e-06,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034057_RAMP,0,19,9.037290715372907e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034061_RAMP,0,8,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034081_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034110_RAMP,10,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034113_RAMP,3,0,1.4269406392694063e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034114_RAMP,0,9,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034120_RAMP,7,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034123_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
