ic,name,direction,GENCONSETID,during_leader_1,during_share_1,during_top3,before_top3,leader_changed_share
VIC1-NSW1,VNI,forward,V-KMRC,V::N_KMRC_V2,0.153125,V::N_KMRC_V2 (15%); N::N_4+07_2 (12%); V>>N_NIL_65_051 (8%),#R032396_013_RAMP_F (5%); #R032432_013_RAMP_F (5%); #R032490_013_RAMP_F (5%),0.7142857142857143
VIC1-NSW1,VNI,forward,V-MLSY_NOEMTT_R,V^^N_MNYS_1,0.17598343685300208,V^^N_MNYS_1 (18%); N>>BDBU_970_051 (12%); V^^N_NIL_1 (9%),V^^N_MNYS_1 (20%); N::N_MNYS_2 (13%); N>>BDBU_970_051 (11%),0.32786885245901637
VIC1-NSW1,VNI,forward,V-MRKM,V>>N_NIL_65_051,0.19883040935672514,V>>N_NIL_65_051 (20%); V::N_HORC_S1 (11%); V::N_HORC_S2 (9%),V::N_HYSE_V1 (14%); V::N_NIL_V1 (14%); #R032396_013_RAMP_F (7%),0.5714285714285714
VIC1-NSW1,VNI,reverse,N-AVMA_17,N^^V_NIL_ARWBBA,0.3274942878903275,N^^V_NIL_ARWBBA (33%); N^^V_NIL_1 (31%); N^^V_JNWG_63_X5_1 (20%),N^^V_NIL_ARWBBA (35%); N^^V_NIL_1 (30%); N^^V_JNWG_63_X5_1 (8%),0.2702702702702703
VIC1-NSW1,VNI,reverse,N-BADP,N^^V_BADP_1,0.6975308641975309,N^^V_BADP_1 (70%); N^^V_CNCW_1 (10%); N^^V_MLNK_1 (10%),N^^V_BADP_1 (25%); N^^V_CNCW_1 (8%); #R032296_008_RAMP_F (8%),0.5
VIC1-NSW1,VNI,reverse,N-CNLT_07,N^^V_CTMN_1,0.20691949434464404,N^^V_CTMN_1 (21%); N^^V_4+07_1 (18%); N^^V_NIL_ARWBBA (15%),N^^V_NIL_ARWBBA (18%); N^^V_CTMN_1 (13%); N^^V_4+07_1 (11%),0.26229508196721313
VIC1-NSW1,VNI,reverse,N-CTMN_4_WG_CLOSE,N^^V_CTMN_1,0.38802992518703244,N^^V_CTMN_1 (39%); N^^V_NIL_ARWBBA (16%); N^^V_NIL_1 (10%),N^^V_CTMN_1 (28%); N^^V_NIL_ARWBBA (18%); N^^V_03+4_1 (10%),0.15730337078651685
VIC1-NSW1,VNI,reverse,N-CTYS_3L_WG_CLOSE,N^^V_CTMN_1,0.4978753541076487,N^^V_CTMN_1 (50%); N^^V_NIL_ARWBBA (20%); N^^V_4+07_1 (7%),N^^V_CTMN_1 (43%); N^^V_NIL_ARWBBA (17%); N^^V_NIL_1 (7%),0.3333333333333333
VIC1-NSW1,VNI,reverse,N-DTKV_18_WG_CLOSE,N^^V_CNCW_1,0.7350427350427351,N^^V_CNCW_1 (74%); N^^V_NIL_ARWBBA (16%); V>>NIL_ELML_BAML2 (3%),N^^V_NIL_ARWBBA (33%); N^^V_MLNK_1 (17%); N^^V_CNCW_1 (17%),0.6666666666666666
VIC1-NSW1,VNI,reverse,N-DTMN_8_15M,N^^V_NIL_1,0.5703363914373089,N^^V_NIL_1 (57%); N^^V_NIL_ARWBBA (32%); I_6F_NS_150 (3%),N^^V_NIL_1 (73%); N^^V_NIL_ARWBBA (18%); N^^V_JNWG_63_X5_1 (5%),0.18181818181818182
VIC1-NSW1,VNI,reverse,N-DTSS_11,N^^V_DTSS_1,0.5054347826086957,N^^V_DTSS_1 (51%); N^^V_NIL_1 (19%); N^^V_NIL_ARWBBA (11%),N^^V_DTSS_1 (32%); N^^V_NIL_1 (19%); N^^V_NIL_ARWBBA (13%),0.0967741935483871
VIC1-NSW1,VNI,reverse,N-KVCW_3W_WG_CLOSE,N^^V_MLNK_1,0.48451327433628316,N^^V_MLNK_1 (48%); N^^V_CNCW_1 (32%); N^^V_NIL_ARWBBA (10%),N^^V_CNCW_1 (23%); N^^V_MLNK_1 (23%); N^^V_NIL_ARWBBA (23%),0.15384615384615385
VIC1-NSW1,VNI,reverse,N-WAGGA_330_BUSA,N^^V_LTWG_1,0.563953488372093,N^^V_LTWG_1 (56%); N^^V_DPWG_1 (22%); N^^V_NIL_1 (8%),N^^V_DPWG_1 (40%); #R030838_014_RAMP_F (10%); N^^V_NIL_1 (10%),0.4
VIC1-NSW1,VNI,reverse,N-X_AVMA_SSWW,N^^V_NIL_1,0.6818181818181818,N^^V_NIL_1 (68%); N^^V_NIL_ARWBBA (16%); N^^V_JNWG_63_X5_1 (10%),N^^V_NIL_1 (50%); N^^V_CRML_1 (20%); N^^V_JNWG_63_X5_1 (20%),0.2
VIC1-NSW1,VNI,reverse,N-X_LPSS_MPWW,N^^V_NIL_1,0.3026315789473684,N^^V_NIL_1 (30%); N^^V_NIL_ARWBBA (27%); N^^V_LTUT_1 (14%),N^^V_NIL_1 (36%); N^^V_NIL_ARWBBA (23%); N^^V_LTUT_1 (14%),0.3181818181818182
