layer,lead_band,name,direction,rows,bookings,origins,brier_outlook,brier_normal,brier_lastyear,skill_vs_normal,skill_vs_lastyear,events,test_rows,test_events,alert_threshold,recall,precision,false_alerts,skilful
binding,91-365,Murraylink,reverse,1047,84,9,0.01721513595763874,0.008986767763959971,0.0177069886963511,-0.9156093057926069,0.02777732268015287,78,138,4,0.05,1.0,0.038461538461538464,100,False
binding,91-365,QNI,forward,873,123,9,0.024784607996293537,0.025131946633349243,0.02755993618289875,0.013820602204956067,0.10070154619325034,67,174,2,0.05,0.0,0.0,16,True
binding,91-365,QNI,reverse,1023,144,9,0.005807861658079182,0.010489717837551805,0.006639479907971794,0.4463281331278708,0.12525352308004079,48,291,16,0.05,0.8125,0.16883116883116883,64,True
binding,91-365,VNI,forward,1224,124,9,0.007560592089372207,0.0036344169966308305,0.0071154538014275934,-1.0802764504956395,-0.0625593673105298,42,141,14,0.05,0.42857142857142855,0.12,44,False
binding,91-365,VNI,reverse,1521,123,9,0.015302352912458003,0.015701898481036078,0.01567760700884669,0.025445685377511795,0.023935674377915994,76,150,14,0.05,0.35714285714285715,0.18518518518518517,22,True
setter,0-7,Basslink,forward,213,70,12,0.16473712030720117,0.20320329321387487,0.17940714492752577,0.18929896409792635,0.08176945587228857,39,156,23,0.21,0.6086956521739131,0.18666666666666668,61,True
setter,0-7,Basslink,reverse,201,66,10,0.15064259389632337,0.17641743009106745,0.15151395322095784,0.14610141515744213,0.005751017025895533,45,156,35,0.21,0.2857142857142857,0.17543859649122806,47,True
setter,0-7,Directlink,forward,306,92,12,0.0404522733136722,0.037111485136721536,0.0033713897775503048,-0.09002033102806184,-10.99869370876047,95,207,63,0.21,1.0,0.7,27,False
setter,0-7,Directlink,reverse,321,96,12,0.08359316732935484,0.08351913523660509,0.09068793576751459,-0.0008864087557902689,0.07823277019280406,81,213,47,0.21,0.8723404255319149,0.5394736842105263,35,False
setter,0-7,Heywood,forward,372,89,12,0.06369092575980045,0.04496920980836021,0.0632977947753974,-0.41632299146959206,-0.006210816439941036,100,285,76,0.21,0.3157894736842105,0.4528301886792453,29,False
setter,0-7,Heywood,reverse,372,97,12,0.08085684004519346,0.06499844465460781,0.07427661780806112,-0.24398115177762825,-0.08859076289844481,104,264,68,0.21,0.6176470588235294,0.5,42,False
setter,0-7,Murraylink,forward,372,99,11,0.077175768974339,0.04998788659864834,0.07162263390955068,-0.5438894145291955,-0.07753324279865437,106,237,63,0.21,0.5079365079365079,0.5517241379310345,26,False
setter,0-7,Murraylink,reverse,336,86,12,0.058112898928471525,0.034214224604879565,0.059468617488295274,-0.6985011234240737,0.022797209975338406,90,216,62,0.21,0.6612903225806451,0.5942028985507246,28,False
setter,0-7,QNI,forward,498,143,12,0.08823861276350602,0.05566029726722016,0.08604525440555497,-0.5853061714686907,-0.025490753361169016,88,384,60,0.21,0.95,0.3220338983050847,120,False
setter,0-7,QNI,reverse,681,173,11,0.08433864485165389,0.06416975527324503,0.09931728967091308,-0.31430522825786866,0.15081608518406808,124,546,62,0.21,0.6290322580645161,0.11572700296735905,298,False
