ic,name,direction,GENCONSETID,DUID,tightening_per_hh_treated,tightening_per_hh_base,relief_per_hh_treated,relief_per_hh_base,excess_tightening,excess_relief,treated_half_hours,base_half_hours
V-S-MNSP1,Murraylink,forward,V-DDSM,MURRAY,0.0,8.812224523334432,0.0,5.080773192283793,-8.812224523334432,-5.080773192283793,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,DARLSF1,10.961998212826797,5.03076752077238,12.342804649482268,6.811793103706454,5.9312306920544176,5.531011545775814,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,LIMOSF11,0.057670127655228755,3.60994411173062,0.10680307019335512,6.09503604461412,-3.552273984075391,-5.9882329744207645,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,FINLYSF1,6.373218613834423,2.448330335688869,7.783527639085938,2.8090879745546014,3.924888278145554,4.974439664531337,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,PAREPW1,3.764787378547858,9.136232993350994,5.462653986078013,7.836731293640825,-5.371445614803136,-2.3740773075628123,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,COLEASF1,6.508902505446624,2.8776774288923446,7.646276723205696,3.6054863638107473,3.6312250765542795,4.040790359394949,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,DARTM1,7.088281321918439,3.261551683997496,0.0,2.976133293319505,3.826729637920943,-2.976133293319505,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,MURRAY,83.18022393332537,91.88617825711381,209.05360244735348,95.20181302824379,-8.705954323788447,113.85178941910969,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,UPPTUMUT,97.39565796012523,53.63325482267041,2.8034681430219153,23.925901918456912,43.762403137454825,-21.122433775434995,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,ARWF1,32.83473212416775,5.692813682285759,37.42243431855452,5.580671304917591,27.14191844188199,31.841763013636932,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,DARLSF1,18.38952262803645,56.691503146681335,37.65906364902767,51.512737434670875,-38.30198051864488,-13.853673785643203,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,LIMOSF11,54.920901861601905,61.21841261626422,91.93323926718423,52.98209230870224,-6.297510754662312,38.95114695848199,153,11347
