ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,0,10,0.016666666666666666,0.0,0.016666666666666666,0.0,0.12000000000000002
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,1,23,0.11594202898550723,0.0,0.11594202898550723,0.0,0.1956521739130435
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,near,CA_BRIS_59712B29,unsupported,rbin,2,22,0.14393939393939392,0.0,0.14393939393939392,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.0,0.0,0.0,0.0,0.03245257452574526
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.049999999999999996
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.05725308641975308
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.0,0.0,0.0,0.0,0.07391975308641975
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,tbin,1,23,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,vbin,1,31,0.0,0.0,0.0,0.0,0.042921146953405015
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,vbin,2,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,rbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.057850241545893716
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,rbin,2,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.18699186991869918,0.0,0.18699186991869918,0.004065040650406504,0.13157181571815718
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.25,0.0,0.25,0.027777777777777776,0.06944444444444443
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.06481481481481483,0.0,0.06481481481481483,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.4148148148148148
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,near,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.05555555555555555,0.0,0.05555555555555555,0.009259259259259259,0.004629629629629629
