target_ic,target_name,direction,GENCONSETID,relation,relevant_to,tier,n_units,any_binding_treated,any_binding_control,any_binding_diff,ci_lo,ci_hi
N-Q-MNSP1,Directlink,forward,I-JNWO_63,not relevant (spillover),Heywood|VNI,unsupported,78,0.0,0.010256410256410256,-0.010256410256410256,-0.011538461538461537,-0.007692307692307694
N-Q-MNSP1,Directlink,reverse,I-JNWO_63,not relevant (spillover),Heywood|VNI,unsupported,78,0.027777777777777776,0.03461538461538462,-0.006837606837606836,-0.044871794871794886,0.030769230769230767
N-Q-MNSP1,Directlink,forward,I-JNWO_RADIAL,not relevant (spillover),Heywood|VNI,unsupported,78,0.0,0.010256410256410256,-0.010256410256410256,-0.011538461538461537,-0.007692307692307694
N-Q-MNSP1,Directlink,reverse,I-JNWO_RADIAL,not relevant (spillover),Heywood|VNI,unsupported,78,0.027777777777777776,0.03461538461538462,-0.006837606837606836,-0.044871794871794886,0.030769230769230767
N-Q-MNSP1,Directlink,forward,I-LTMS,not relevant (spillover),Murraylink|VNI,unsupported,116,0.05459770114942528,0.03290229885057471,0.02169540229885058,-0.031542699724517904,0.08496732026143793
N-Q-MNSP1,Directlink,reverse,I-LTMS,not relevant (spillover),Murraylink|VNI,unsupported,116,0.018678160919540228,0.0809147509578544,-0.06223659003831417,-0.09376640419947506,-0.03717449095022632
N-Q-MNSP1,Directlink,forward,I-MURRAY_SRAS_R,not relevant (spillover),Murraylink|VNI,indicative,10,0.0,0.026666666666666665,-0.026666666666666665,-0.026666666666666665,-0.026666666666666665
N-Q-MNSP1,Directlink,reverse,I-MURRAY_SRAS_R,not relevant (spillover),Murraylink|VNI,indicative,10,0.5,0.24833333333333335,0.25166666666666665,0.25166666666666665,0.25166666666666665
N-Q-MNSP1,Directlink,forward,I-SVML_044,not relevant (spillover),Murraylink,supported,92,0.14673913043478262,0.14341787439613526,0.003321256038647347,-0.14063576658053403,0.1446696859903381
N-Q-MNSP1,Directlink,reverse,I-SVML_044,not relevant (spillover),Murraylink,supported,92,0.2391304347826087,0.25875603864734303,-0.019625603864734296,-0.1744702168746286,0.15440178571428573
N-Q-MNSP1,Directlink,forward,I-SVML_088,not relevant (spillover),Murraylink,supported,62,0.056451612903225805,0.14292114695340502,-0.08646953405017922,-0.18210784313725492,-0.01234152421652422
N-Q-MNSP1,Directlink,reverse,I-SVML_088,not relevant (spillover),Murraylink,supported,62,0.35215053763440857,0.20112007168458781,0.15103046594982078,-0.005691964285714282,0.2803494623655914
N-Q-MNSP1,Directlink,forward,I-SVML_132,not relevant (spillover),Murraylink,supported,90,0.17222222222222222,0.0884567901234568,0.08376543209876543,-0.016341666666666664,0.19257738095238086
N-Q-MNSP1,Directlink,reverse,I-SVML_132,not relevant (spillover),Murraylink,supported,90,0.36851851851851847,0.25015432098765433,0.11836419753086419,-0.0036682776526526456,0.2672975861301805
N-Q-MNSP1,Directlink,forward,I-SV_HEY_250,not relevant (spillover),Heywood,unsupported,44,0.0,0.0026515151515151517,-0.0026515151515151517,-0.008333333333333333,0.0
