ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,1,22,0.4545454545454545,0.0,0.4545454545454545,0.09090909090909091,0.0731060606060606
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,2,15,0.16666666666666666,0.0,0.16666666666666666,0.3666666666666666,0.34388888888888886
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,0,1,1.0,0.0,1.0,0.0,0.2
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,1,39,0.24786324786324784,0.0,0.24786324786324784,0.004273504273504273,0.03098290598290598
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,2,16,0.16666666666666666,0.0,0.16666666666666666,0.45833333333333326,0.3348958333333334
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,0,8,0.1875,0.0,0.1875,0.29166666666666663,0.5614583333333334
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,1,39,0.07692307692307691,0.0,0.07692307692307691,0.13247863247863245,0.05320512820512821
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,2,9,0.9814814814814814,0.0,0.9814814814814814,0.0,0.022222222222222223
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,season,Autumn,464,0.42528735632183906,0.00043103448275862074,0.42485632183908045,0.13326149425287356,0.08841594827586208
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,season,Spring,515,0.1524271844660194,0.0,0.1524271844660194,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,season,Summer,262,0.46946564885496184,0.0,0.46946564885496184,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,season,Winter,356,0.23220973782771534,0.0005617977528089887,0.23164794007490638,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,day_period,Evening peak,247,0.4858299595141701,0.0008097165991902834,0.4850202429149798,0.05802968960863697,0.010053981106612687
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,N-96L_96R_CB4102,supported,day_period,Morning peak,229,0.34861717612809306,0.0,0.34861717612809306,0.024745269286754003,0.027971858321203302
