ic,name,direction,GENCONSETID,tier,lag_days,group,n_units,own_treated,own_control,own_diff,any_diff
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,7,not_booked_in_advance,260,0.0,0.0,0.0,-0.03647435897435898
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,14,booked_in_advance,264,0.0,0.0,0.0,0.003240740740740736
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,14,not_booked_in_advance,429,0.0,0.0,0.0,0.041440041440041424
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,1,booked_in_advance,693,0.0007215007215007215,0.0,0.0007215007215007215,-0.010766394099727435
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,7,booked_in_advance,433,0.0011547344110854503,0.0,0.0011547344110854503,-0.007518604054400821
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,7,not_booked_in_advance,260,0.0,0.0,0.0,-0.01617521367521368
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,14,booked_in_advance,264,0.001893939393939394,0.0,0.001893939393939394,0.01948653198653199
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,14,not_booked_in_advance,429,0.0,0.0,0.0,-0.029383579383579383
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,1,booked_in_advance,2543,0.0,0.0,0.0,0.013043430768558562
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,1,not_booked_in_advance,18,0.0,0.0,0.0,0.0462962962962963
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,7,booked_in_advance,2279,0.0,0.0,0.0,0.02201379747452586
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,7,not_booked_in_advance,200,0.0,0.0,0.0,-0.04954166666666668
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,14,booked_in_advance,1973,0.0,0.0,0.0,0.012889283099622683
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,supported,14,not_booked_in_advance,506,0.0,0.0,0.0,0.029309398331137458
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,1,booked_in_advance,2543,0.019137501638484728,0.0,0.019137501638484728,0.01900423821383318
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,1,not_booked_in_advance,18,0.07407407407407407,0.0,0.07407407407407407,0.05833333333333332
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,7,booked_in_advance,2279,0.018356004095363466,0.0,0.018356004095363466,0.02257325337623714
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,7,not_booked_in_advance,200,0.029166666666666664,0.0,0.029166666666666664,0.019333333333333327
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,14,booked_in_advance,1973,0.020442642338232803,0.0,0.020442642338232803,0.029122317959114716
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,14,not_booked_in_advance,506,0.014492753623188404,0.0,0.014492753623188404,-0.004243522178304789
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,1,booked_in_advance,201,0.020729684908789382,0.0,0.020729684908789382,0.3571862907683804
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,1,not_booked_in_advance,18,0.5277777777777778,0.0,0.5277777777777778,0.5277777777777778
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,7,booked_in_advance,201,0.020729684908789382,0.0,0.020729684908789382,0.3571862907683804
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,7,not_booked_in_advance,18,0.5277777777777778,0.0,0.5277777777777778,0.5277777777777778
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,14,booked_in_advance,201,0.020729684908789382,0.0,0.020729684908789382,0.3571862907683804
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,14,not_booked_in_advance,18,0.5277777777777778,0.0,0.5277777777777778,0.5277777777777778
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,1,booked_in_advance,201,0.0,0.0,0.0,0.10737976782752903
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,1,not_booked_in_advance,18,0.0,0.0,0.0,0.25540123456790126
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,7,booked_in_advance,201,0.0,0.0,0.0,0.10737976782752903
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,7,not_booked_in_advance,18,0.0,0.0,0.0,0.25540123456790126
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,14,booked_in_advance,201,0.0,0.0,0.0,0.10737976782752903
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,supported,14,not_booked_in_advance,18,0.0,0.0,0.0,0.25540123456790126
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,1,booked_in_advance,302,0.0,0.0,0.0,0.00793782192788815
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,7,booked_in_advance,302,0.0,0.0,0.0,0.00793782192788815
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,14,booked_in_advance,245,0.0,0.0,0.0,0.010192743764172327
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,14,not_booked_in_advance,57,0.0,0.0,0.0,-0.0017543859649122807
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,unsupported,1,booked_in_advance,302,0.0,0.0,0.0,-0.040194996320824135
