week,ic,name,direction,outages,supported_rows,largest_reduction_mw,overlap_max,top_binding_eq,top_binding_p
2027-01-04,V-S-MNSP1,Murraylink,forward,1,1,-14.333333333333329,1,I_6F_SN_150,0.009731252709146
2027-01-04,V-S-MNSP1,Murraylink,reverse,1,1,-12.0,1,V^^V_NIL_KGTS,0.267574074074074
2027-01-04,VIC1-NSW1,VNI,forward,1,1,-21.57422000000008,1,N::N_CNLT_2,0.0283333333333333
2027-01-04,VIC1-NSW1,VNI,reverse,1,1,-21.43283624999998,1,N>>NIL_060_051,0.0837756546355272
2027-01-11,NSW1-QLD1,QNI,forward,1,0,-149.6292024999999,3,N>>33_34_QMAX_N,0.0307692307692307
2027-01-11,NSW1-QLD1,QNI,reverse,1,0,-167.15890833333322,3,N>>NIL_86_85_S,0.2598200629779577
2027-01-11,V-S-MNSP1,Murraylink,forward,1,0,-62.059365,1,S>>NIL_TWPA_TPRS,0.0032051282051282
2027-01-11,V-S-MNSP1,Murraylink,reverse,1,0,-97.121045,1,V>>NIL_MLGT_MLGT,0.0
2027-01-11,VIC1-NSW1,VNI,forward,1,0,-81.30029666666655,3,N>>33_34_QMAX_N,0.0
2027-01-11,VIC1-NSW1,VNI,reverse,1,0,-215.1035733333333,3,N^^V_NIL_ARWBBA,0.0421838177533385
2027-01-18,N-Q-MNSP1,Directlink,forward,9,10,-35.146085,8,N>>NIL_33_34,0.0304878048780487
2027-01-18,N-Q-MNSP1,Directlink,reverse,9,9,3.0665183333333204,8,N>>NIL_964_84_S,0.2722222222222222
2027-01-18,NSW1-QLD1,QNI,forward,10,2,-568.0765250000001,10,F_Q++8C_L6,0.3688832172628462
2027-01-18,NSW1-QLD1,QNI,reverse,10,8,-642.8244658333333,10,N>>NIL_964_84_S,0.837121212121212
2027-01-18,VIC1-NSW1,VNI,forward,3,3,-421.32921,3,V>>N_NIL_65_051,0.2104761904761904
2027-01-18,VIC1-NSW1,VNI,reverse,3,3,-137.93621374999998,3,N^^V_NIL_1,0.1546662596662596
2027-01-25,T-V-MNSP1,Basslink,forward,1,0,0.0,0,TV_075_MIN,0.0082116402116402
2027-01-25,T-V-MNSP1,Basslink,reverse,1,0,0.0,0,F_T++NIL_ML_RECL_L6,0.0351851851851851
2027-02-01,N-Q-MNSP1,Directlink,forward,2,2,-36.652375,2,N>96L_96R_967_89,0.0001252348152786
2027-02-01,N-Q-MNSP1,Directlink,reverse,2,2,3.316666666666677,2,N>>NIL_964_88_S,0.1194145437148666
