ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
NSW1-QLD1,QNI,forward,K2,Q-X_HATR2+HA_275BUS,Q-X_HATR2+HA_275BUS,setter,238,0.0007002801120448179,0.0,0.0024878731343283577,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR2+HA_275BUS,Q-X_HATR2+HA_275BUS,setter,238,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HATR3+HACL,Q-X_HATR3+HACL,setter,32,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR3+HACL,Q-X_HATR3+HACL,setter,32,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HATR_TWO,Q-X_HATR_TWO,setter,1115,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR_TWO,Q-X_HATR_TWO,setter,1115,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_METR+BKSP,Q-X_METR+BKSP,setter,11,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_METR+BKSP,Q-X_METR+BKSP,setter,11,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_METR+MESP,Q-X_METR+MESP,setter,48,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_METR+MESP,Q-X_METR+MESP,setter,48,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_MRGB_MRGB,Q-X_MRGB_MRGB,setter,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_MRGB_MRGB,Q-X_MRGB_MRGB,setter,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WIDEBAY,Q-X_WIDEBAY,setter,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WIDEBAY,Q-X_WIDEBAY,setter,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WIDEBAY_TWO,Q-X_WIDEBAY_TWO,setter,56,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WIDEBAY_TWO,Q-X_WIDEBAY_TWO,setter,56,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WOSP_WOPW_O,Q-X_WOSP_WOPW_O,setter,28,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WOSP_WOPW_O,Q-X_WOSP_WOPW_O,setter,28,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,F-T-GO_CB_A752,F-T-GO_CB_A752,setter,515,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,F-T-GO_CB_A752,F-T-GO_CB_A752,setter,515,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-JNWG_RADIAL,N-JNWG_RADIAL,setter,585,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-JNWG_RADIAL,N-JNWG_RADIAL,setter,585,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-LDTW_84,N-LDTW_84,setter,555,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-LDTW_84,N-LDTW_84,setter,555,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-LTWG_RADIAL,N-LTWG_RADIAL,setter,193,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-LTWG_RADIAL,N-LTWG_RADIAL,setter,193,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-MMWB_ONE,N-MMWB_ONE,setter,102,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-MMWB_ONE,N-MMWB_ONE,setter,102,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-TWUL_85,N-TWUL_85,setter,719,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-TWUL_85,N-TWUL_85,setter,719,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,setter,254,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,setter,254,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,Q-X_BRTX1+BRHA,Q-X_BRTX1+BRHA,setter,32,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,Q-X_BRTX1+BRHA,Q-X_BRTX1+BRHA,setter,32,0.0,0.0,0.0,True
