as_of,ic,direction,GENCONSETID,embargo_effect,embargo_ci_lo,embargo_ci_hi,rerun_effect,rerun_ci_lo,rerun_ci_hi,rerun_units,embargo_units,agree
2026-07-10 00:00:11,NSW1-QLD1,forward,Q-CPWO_813/1,-12.207594999999984,-35.94908499999997,13.475994999999983,-5.936305000000004,-33.71634666666667,26.119296583333323,1067,1158,True
2026-07-10 00:00:11,NSW1-QLD1,forward,Q-LCCP_8859,-161.06151333333335,-312.53794500000004,-37.87420999999995,-106.19716999999999,-278.61694891666656,34.275073958333074,216,173,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-LCCP_8859,-20.924999999999955,-57.00410166666666,124.93671666666671,-13.727371666666613,-57.00410166666666,345.3729926249999,216,173,True
2026-07-10 00:00:11,NSW1-QLD1,forward,Q-RGLC_8875,-18.429372916666665,-132.98407333333333,217.56543674999907,-16.169775833333333,-396.97966929166665,217.56543674999907,236,236,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-RGLC_8875,-91.11528374999997,-213.27732000000003,31.4694466666665,-178.3479825,-424.172135,38.17019499999992,236,236,True
2026-07-10 00:00:11,NSW1-QLD1,forward,Q-X_BRHA_TWO,-14.927091666666698,-88.20282666666662,9.660901666666632,-19.032435833333324,-100.85285945833338,0.16065766666652007,144,144,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-X_BRHA_TWO,-20.120649166666567,-90.78501000000006,28.073161666666664,-3.7410241666667616,-87.68170833333329,48.40449833333338,144,144,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-X_HACL_HATR,-1.2323416666666844,-48.75391666666667,17.902887666666647,-1.2323416666666844,-48.75391666666667,17.902887666666647,503,503,True
2026-07-10 00:00:11,NSW1-QLD1,forward,Q-X_HATR_TWO,-68.62656499999997,-144.50973035416672,-14.803649999999948,-67.38745083333333,-144.50973035416672,-14.576754999999821,598,598,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-X_HATR_TWO,-12.707087500000057,-50.07478500000013,19.927000833333427,-12.525823333333278,-50.07478500000013,20.418153250000017,598,598,True
