ic,name,direction,direction_label,season,season_block,flow_median,intervals,capacity_p10,capacity_median,capacity_p90,headroom_median,restricted_rate,forced_rate
T-V-MNSP1,Basslink,reverse,VIC → TAS,Spring,Spring 2025,-0.0,4368,-159.15522416666667,120.80291666666668,233.33956516666674,117.93448749999999,0.8578296703296703,0.33127289377289376
T-V-MNSP1,Basslink,reverse,VIC → TAS,Spring,Spring 2026,-263.7527616666667,1,-263.7527566666667,-263.7527566666667,-263.7527566666667,4.9999999873762135e-06,1.0,1.0
T-V-MNSP1,Basslink,reverse,VIC → TAS,Summer,Summer 2023–24,438.831575,4368,-77.87651666666665,439.40905250000003,452.99795066666667,-0.0006883333333007613,0.14125457875457875,0.11469780219780219
T-V-MNSP1,Basslink,reverse,VIC → TAS,Summer,Summer 2024–25,404.10201166666667,4320,-167.72117799999998,405.50589,467.12014233333326,0.0,0.18263888888888888,0.15902777777777777
T-V-MNSP1,Basslink,reverse,VIC → TAS,Summer,Summer 2025–26,60.0,4320,53.071797000000004,201.59123749999998,377.921489,125.0,0.4935185185185185,0.05
T-V-MNSP1,Basslink,reverse,VIC → TAS,Winter,Winter 2024,406.73012916666664,4416,-146.01491666666666,421.22832666666665,477.9962775,2.412827499999935,0.2246376811594203,0.19542572463768115
T-V-MNSP1,Basslink,reverse,VIC → TAS,Winter,Winter 2025,82.35768333333333,4416,-143.766935,254.98031166666664,460.2556883333333,76.60216250000005,0.4533514492753623,0.1956521739130435
T-V-MNSP1,Basslink,reverse,VIC → TAS,Winter,Winter 2026,-75.0277925,4416,-241.60481833333336,-64.30742166666667,388.20606,113.489855,0.7760416666666666,0.5224184782608695
V-S-MNSP1,Murraylink,forward,VIC → SA,Autumn,Autumn 2024,36.844715,4416,0.0,107.75,167.34576833333333,25.937736666666662,0.3870018115942029,0.058423913043478264
V-S-MNSP1,Murraylink,forward,VIC → SA,Autumn,Autumn 2025,50.75311833333333,4416,-41.75,120.37358583333334,166.02569416666665,55.68531,0.2980072463768116,0.140625
V-S-MNSP1,Murraylink,forward,VIC → SA,Autumn,Autumn 2026,42.99773333333333,4416,-107.65570833333334,110.0,163.13816166666666,0.961954166666672,0.28464673913043476,0.1696105072463768
V-S-MNSP1,Murraylink,forward,VIC → SA,Spring,Spring 2023,16.33758,4367,-5.866825666666656,61.553111666666666,169.10239866666666,0.0,0.5092741012136478,0.1710556446072819
V-S-MNSP1,Murraylink,forward,VIC → SA,Spring,Spring 2024,43.5,4368,-45.0,116.0,165.64310500000002,15.26340833333332,0.3498168498168498,0.1472069597069597
V-S-MNSP1,Murraylink,forward,VIC → SA,Spring,Spring 2025,18.0,4368,-89.12538416666666,89.0,166.82870250000002,8.531824999999998,0.41483516483516486,0.24587912087912087
V-S-MNSP1,Murraylink,forward,VIC → SA,Spring,Spring 2026,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
V-S-MNSP1,Murraylink,forward,VIC → SA,Summer,Summer 2023–24,101.02207333333334,4368,5.076045833333341,149.32102916666665,181.69492516666668,3.7328524999999972,0.18406593406593408,0.09706959706959707
V-S-MNSP1,Murraylink,forward,VIC → SA,Summer,Summer 2024–25,85.11474666666666,4320,26.004209166666666,147.09526916666664,176.89219333333335,26.68334000000001,0.1423611111111111,0.07453703703703704
V-S-MNSP1,Murraylink,forward,VIC → SA,Summer,Summer 2025–26,49.5,4320,-93.21053916666666,110.03826000000001,174.93823966666665,1.6666666624587378e-06,0.37824074074074077,0.22268518518518518
V-S-MNSP1,Murraylink,forward,VIC → SA,Winter,Winter 2024,23.029105833333332,4416,-48.161608333333334,95.0,166.2097775,66.21027666666666,0.3786231884057971,0.16983695652173914
V-S-MNSP1,Murraylink,forward,VIC → SA,Winter,Winter 2025,4.822024166666667,4416,-116.86180166666666,67.17348166666667,154.70178833333333,26.342510833333336,0.47644927536231885,0.259963768115942
V-S-MNSP1,Murraylink,forward,VIC → SA,Winter,Winter 2026,10.777225833333333,4416,-66.00436,62.0,159.86973166666667,1.6666666624587378e-06,0.4929800724637681,0.2296195652173913
V-S-MNSP1,Murraylink,reverse,SA → VIC,Autumn,Autumn 2024,-36.844715,4416,-137.82735583333334,0.0,77.543295,17.528842499999996,0.7321105072463768,0.4057971014492754
V-S-MNSP1,Murraylink,reverse,SA → VIC,Autumn,Autumn 2025,-50.75311833333333,4416,-104.2435675,11.0,109.62222916666667,75.32845,0.5948822463768116,0.4123641304347826
V-S-MNSP1,Murraylink,reverse,SA → VIC,Autumn,Autumn 2026,-42.99773333333333,4416,-150.12426499999998,30.75,145.59086666666667,75.92675583333335,0.4857336956521739,0.4114583333333333
V-S-MNSP1,Murraylink,reverse,SA → VIC,Spring,Spring 2023,-16.33758,4367,-152.287874,0.0,98.04996933333335,4.9999999873762135e-06,0.7263567666590337,0.4224868330661782
V-S-MNSP1,Murraylink,reverse,SA → VIC,Spring,Spring 2024,-43.5,4368,-151.6723485,6.5,121.68839183333337,40.92857666666667,0.6245421245421245,0.4040750915750916
V-S-MNSP1,Murraylink,reverse,SA → VIC,Spring,Spring 2025,-18.0,4368,-156.84809033333332,36.41666666666667,137.93645450000002,28.019537499999984,0.49496336996337,0.399496336996337
V-S-MNSP1,Murraylink,reverse,SA → VIC,Spring,Spring 2026,-0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
V-S-MNSP1,Murraylink,reverse,SA → VIC,Summer,Summer 2023–24,-101.02207333333334,4368,-169.3139915,-35.416446666666666,81.14063016666668,54.8346375,0.7181776556776557,0.6176739926739927
V-S-MNSP1,Murraylink,reverse,SA → VIC,Summer,Summer 2024–25,-85.11474666666666,4320,-166.45299533333335,-36.464998333333334,69.83336299999999,26.658051666666665,0.7206018518518519,0.5888888888888889
V-S-MNSP1,Murraylink,reverse,SA → VIC,Summer,Summer 2025–26,-49.5,4320,-169.9295625,0.0,122.01503799999999,9.806744166666654,0.5798611111111112,0.4988425925925926
V-S-MNSP1,Murraylink,reverse,SA → VIC,Winter,Winter 2024,-23.029105833333332,4416,-96.33944333333332,5.0,134.6791925,35.768789999999996,0.6068840579710145,0.38156702898550726
V-S-MNSP1,Murraylink,reverse,SA → VIC,Winter,Winter 2025,-4.822024166666667,4416,-85.57931583333334,39.5,130.0,25.733563333333333,0.4891304347826087,0.2982336956521739
