ic,name,direction,GENCONSETID,effect_capacity,ci_lo_capacity,ci_hi_capacity,tier,episodes,treated_hours,relation,ci_excludes_zero
NSW1-QLD1,QNI,reverse,Q-BCCP_812,-23.57901499999997,-40.09479166666665,3.0938861874988426,unsupported,2,21.5,relevant,False
NSW1-QLD1,QNI,forward,Q-BKBM,4.421843333333353,-18.986739541666662,48.13911629166667,unsupported,14,480.5,relevant,False
NSW1-QLD1,QNI,reverse,Q-BKBM,32.81884750000003,-7.531765000000064,90.06107499999985,supported,14,480.5,relevant,False
NSW1-QLD1,QNI,forward,Q-BRTX1,-5.585689166666668,-46.55134833333318,35.15700500000003,indicative,4,31.5,relevant,False
NSW1-QLD1,QNI,reverse,Q-BRTX1,-290.9186533333334,-731.6222283333334,0.0,indicative,4,31.5,relevant,False
NSW1-QLD1,QNI,forward,Q-CPWO_813/1,-14.302624166666671,-38.04833,6.837249999999997,supported,7,762.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-CPWO_813/1,-26.40611416666664,-70.82857083333329,12.808357104166642,supported,7,762.0,relevant,False
NSW1-QLD1,QNI,forward,Q-LCCP_8859,-161.06151333333335,-312.53794500000004,-37.87420999999995,supported,9,135.5,relevant,True
NSW1-QLD1,QNI,reverse,Q-LCCP_8859,-20.924999999999955,-57.00410166666666,124.93671666666671,supported,9,135.5,relevant,False
NSW1-QLD1,QNI,forward,Q-RGLC_8875,-21.86051333333333,-120.70338833333341,36.01162833333335,supported,12,183.5,relevant,False
NSW1-QLD1,QNI,reverse,Q-RGLC_8875,-92.90258916666653,-201.8443266666667,2.5519215000000677,unsupported,12,183.5,relevant,False
NSW1-QLD1,QNI,forward,Q-X_BRHA_TWO,-14.927091666666698,-88.20282666666662,9.660901666666632,supported,20,72.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_BRHA_TWO,-20.120649166666567,-90.78501000000006,28.073161666666664,supported,20,72.0,relevant,False
NSW1-QLD1,QNI,forward,Q-X_HACL_HATR,-38.063401666666664,-109.3210491875,9.083670000000097,unsupported,28,319.5,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_HACL_HATR,-1.2323416666666844,-48.75391666666667,17.902887666666647,supported,28,319.5,relevant,False
NSW1-QLD1,QNI,forward,Q-X_HATR2+HA_275BUS,-70.01517333333334,-128.6954383333334,-9.905411666666623,indicative,3,80.5,relevant,True
NSW1-QLD1,QNI,reverse,Q-X_HATR2+HA_275BUS,-71.53656166666667,-131.15649500000006,-19.970070000000305,indicative,3,80.5,relevant,True
NSW1-QLD1,QNI,forward,Q-X_HATR3+HACL,159.27304999999996,,,unsupported,8,8.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_HATR3+HACL,32.0,,,unsupported,8,8.0,relevant,False
NSW1-QLD1,QNI,forward,Q-X_HATR_TWO,-68.62656499999997,-144.50973035416672,-14.803649999999948,supported,33,374.0,relevant,True
NSW1-QLD1,QNI,reverse,Q-X_HATR_TWO,-12.707087500000057,-50.07478500000013,19.927000833333427,supported,33,374.0,relevant,False
NSW1-QLD1,QNI,forward,Q-X_METR+BKSP,-171.24029249999998,-335.637615,-335.637615,unsupported,1,3.5,relevant,True
NSW1-QLD1,QNI,reverse,Q-X_METR+BKSP,-97.08973458333334,-126.69381666666666,-126.69381666666666,unsupported,1,3.5,relevant,True
NSW1-QLD1,QNI,forward,Q-X_METR+MESP,32.2231875,-18.714534999999998,33.470956666666666,indicative,3,12.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_METR+MESP,-20.923359166666643,-28.101823333333357,23.87488666666667,indicative,3,12.0,relevant,False
NSW1-QLD1,QNI,forward,Q-X_MRGB_MRGB,1.0728600000001052,-162.69082166666658,100.59348,unsupported,25,35.5,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_MRGB_MRGB,1.1666666666667425,-425.3358583333333,54.61247500000002,unsupported,25,35.5,relevant,False
NSW1-QLD1,QNI,forward,Q-X_WIDEBAY,-157.19487500000002,-157.19487500000002,-157.19487500000002,indicative,4,10.5,relevant,True
NSW1-QLD1,QNI,reverse,Q-X_WIDEBAY,-11.240007500000047,-11.240007500000047,-11.240007500000047,indicative,4,10.5,relevant,True
NSW1-QLD1,QNI,forward,Q-X_WIDEBAY_TWO,72.5380875,-753.4699699999999,263.66313333333335,indicative,4,14.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_WIDEBAY_TWO,-242.58963000000006,-501.66094666666675,6.306479999999993,indicative,4,14.0,relevant,False
NSW1-QLD1,QNI,forward,Q-X_WOSP_WOPW_O,-568.0765250000001,,,unsupported,2,7.0,relevant,False
NSW1-QLD1,QNI,reverse,Q-X_WOSP_WOPW_O,15.820850000000064,,,unsupported,2,7.0,relevant,False
T-V-MNSP1,Basslink,forward,F-I_FFR_GLOBAL,,,,unsupported,0,,relevant,False
T-V-MNSP1,Basslink,reverse,F-I_FFR_GLOBAL,,,,unsupported,0,,relevant,False
T-V-MNSP1,Basslink,forward,F-T-GO_CB_A752,23.904020000000003,14.484374937500009,38.251210999999955,indicative,4,876.0,relevant,True
