SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
T296_GON,T296 Goodiwindi North,QLD1,Powerlink,,,,,unmatched,
GUNSD_SF,Gunsynd Solar farm,QLD1,Powerlink,,,,,unmatched,
H92_K2H,H092 K2H Kidston Hydro Station,QLD1,Powerlink,,,,,unmatched,
GTS,Geelong 220kV,VIC1,AusNet,way/244141232,Geelong Terminal Station,-38.0828702,144.3384413,name_match,medium
CPTS,Carwarp CPTS,VIC1,AusNet,,,,,unmatched,
PLTS,Pine Lodge PLTS 220kV,VIC1,AusNet,,,,,unmatched,
GETS,Goorambat East GETS Station,VIC1,AusNet,,,,,unmatched,
CULTAN_E,Cultana East 275kV,SA1,ElectraNet,,,,,unmatched,
H154_SND,Supernode BESS (154),QLD1,AEMO,,,,,unmatched,
S2_HALYS,Halys (S2),QLD1,Powerlink,way/544496526,Halys Substation,-26.7709981,151.7112866,name_match,medium
MRTS,Murra Warra,VIC1,AusNet,,,,,unmatched,
H79_YULN,Yuleba North (H79),QLD1,Powerlink,way/550224417,Yuleba North,-26.18683,149.4376185,name_match,medium
T211_WYC,Wycarbah (T211),QLD1,Powerlink,,,,,unmatched,
SSQRW,Wulkaraka,QLD1,Powerlink,,,,,unmatched,
Z2_WHSF,Whitsunday SF,QLD1,Powerlink,,,,,unmatched,
T106_WAN,Wandoo,QLD1,Powerlink,way/218220945,Wandoo,-21.7759782,148.8854712,name_match,medium
H60_WALK,Walkamin,QLD1,Powerlink,way/798877610,Walkamin Substation,-17.1850088,145.3797323,name_match,medium
H83_APOR,APLNG Orana,QLD1,Powerlink,,,,,unmatched,
MUNN_P,Munno Para,SA1,ElectraNet,way/559362075,Munno Para,-34.6530841,138.7001091,name_match,medium
SSVSL,Varsity Lakes,QLD1,Powerlink,,,,,unmatched,
CORR_H,Corraberra Hill,SA1,ElectraNet,way/719078738,Corraberra Hill,-32.6172968,137.5925408,name_match,medium
BLYT_W,Blyth West,SA1,ElectraNet,way/600317408,Blyth West,-33.8468498,138.4077661,name_match,medium
BLAC_R,Black Range Series Cap Station,SA1,ElectraNet,,,,,unmatched,
T178_SCK,Stoney Creek (T178),QLD1,Powerlink,,,,,unmatched,
T209_BLF,Bluff (T209),QLD1,Powerlink,way/331770448,Bluff,-23.5881654,149.0398097,name_match,medium
SSSGT,SSSGT Sandgate 110kV,QLD1,Powerlink,,,,,unmatched,
T175_BLB,Bolingbroke,QLD1,Powerlink,,,,,unmatched,
T242_SPR,Springlands,QLD1,Powerlink,,,,,unmatched,
BLUFF_WF,Porcupine Range Wind Farm,SA1,ElectraNet,,,,,unmatched,
T181_BWN,Bowen North (T181),QLD1,Powerlink,way/171746362,Bowen North,-20.0186846,148.1674156,name_match,medium
Z7_RRSF,Ross River SF,QLD1,Powerlink,,,,,unmatched,
