ic,name,direction,constraint,DUID,contribution_rows,active_intervals,total_abs_impact,p95_abs_impact,total_tightening,p95_tightening,total_relief,contraction_rows,forced_rows,sensitivity_median,sensitivity_max_abs,mean_abs_impact,mean_tightening,tightening_rank,impact_rank,relief_rank,season_blocks
VIC1-NSW1,VNI,upper,N>>NIL_33_34,ER01,2092,2092,100066.64128194735,257.7051086538462,40951.69142767672,139.76839750519756,59114.94985427062,214,268,3.2952182952182953,3.301282051282051,47.83300252483143,19.57537831150895,18.0,17.0,9.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,ER02,2092,2092,95270.13614897782,259.18628471933465,47611.80040750173,164.25186943866933,47658.33574147609,214,268,3.2952182952182953,3.301282051282051,45.540218044444465,22.758986810469278,16.0,18.0,16.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,ER03,2092,2092,67622.65771793718,158.13563336798333,26153.80876168862,89.03693877338888,41468.84895624856,214,268,2.0062370062370065,2.0085470085470085,32.324406174922174,12.501820631782323,24.0,21.0,20.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,ER04,2092,2092,46945.57011429893,129.50610966735962,22981.336941129593,75.01229885654895,23964.23317316933,214,268,2.0062370062370065,2.0085470085470085,22.44052108714098,10.985342706084891,29.0,29.0,31.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,ERB01,128,128,19717.545255128203,990.3846153846154,9813.69910128205,660.2564102564102,9903.846153846152,18,36,3.301282051282051,3.301282051282051,154.0433223056891,76.66952422876602,46.0,49.0,51.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,FINLYSF1,2092,2092,18783.51910116078,45.385837858627866,4291.833053707554,11.315929313929315,14491.686047453224,214,268,-1.0114345114345116,1.0114345114345116,8.978737620057734,2.0515454367626935,71.0,53.0,45.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,FLYCRKWF,2092,2092,47478.28742803188,84.30918918918918,24738.201383139873,60.627027027027026,22740.08604489201,214,268,-2.1621621621621623,2.168803418803419,22.69516607458503,11.82514406459841,26.0,28.0,33.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GESF1,128,128,113.4169807051282,4.426791741452991,33.435348600427346,2.106714017094017,79.98163210470085,18,36,-1.0053418803418803,1.0053418803418803,0.886070161758814,0.26121366094083864,93.0,91.0,91.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GNNDHSF1,2092,2092,175986.46455194618,494.07484407484407,121752.48632001618,391.00831600831606,54233.97823193001,214,268,10.395010395010395,10.395299145299145,84.12354902100678,58.19908523901347,7.0,7.0,10.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GOONSF1,2092,2092,22783.13251233541,56.37640332640332,8193.13513038808,28.444178794178796,14589.997381947333,214,268,-2.047817047817048,2.051282051282051,10.890598715265492,3.9164125862275716,49.0,42.0,44.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GULLRSF1,2092,2092,831.1906690575191,1.867494802494803,222.19473045738047,0.5650311850311851,608.9959386001386,214,268,-1.1122661122661124,1.1122661122661124,0.3973186754577051,0.10621163023775357,89.0,89.0,89.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GULLRWF1,2092,2092,23038.202503326407,30.64736933471934,11099.987190113192,22.570499999999992,11938.215313213213,214,268,-1.1122661122661124,1.1122661122661124,11.012525097192356,5.305921218983361,40.0,41.0,48.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GULLRWF2,2092,2092,19089.315672037425,29.320802910602904,10744.154348417649,21.62937151767152,8345.161323619774,214,268,-1.1122661122661124,1.1122661122661124,9.124911889119227,5.1358290384405585,42.0,52.0,60.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GUNNING1,2092,2092,8036.822730731693,12.777297297297297,4382.1188863132365,9.871663201663205,3654.703844418457,214,268,-1.1018711018711018,1.1018711018711018,3.8416934659329316,2.09470310053214,69.0,73.0,78.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,GUTHEGA,2092,2092,3925.07253984754,24.722661122661126,3278.099133749134,10.965696465696467,646.9734060984061,214,268,-0.996881496881497,0.996881496881497,1.8762297035600097,1.5669689931879227,77.0,85.0,88.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,HEZ1,2092,2092,325.1351351351352,0.0,162.5675675675676,-0.0,162.5675675675676,214,268,4.168399168399169,4.168399168399169,0.15541832463438585,0.07770916231719292,90.0,90.0,90.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,HILLSTN1,2092,2092,16574.117406962057,40.93615384615384,5810.8267335421,20.783825363825365,10763.290673419957,214,268,-1.0103950103950103,1.0103950103950103,7.922618263366184,2.7776418420373323,61.0,59.0,50.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,HUMENSW,2092,2092,47.53662180873181,0.0,15.697840291060292,0.0,31.838781517671517,214,268,-1.0072765072765073,1.0072765072765073,0.02272305057778767,0.0075037477490727976,94.0,94.0,92.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,HUNTER1,128,128,0.0,0.0,0.0,-0.0,0.0,18,36,4.155982905982906,4.155982905982906,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,HUNTER2,128,128,0.0,0.0,0.0,-0.0,0.0,18,36,4.155982905982906,4.155982905982906,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,JEMALNG1,2092,2092,19397.32671008316,54.70828482328482,6911.811369022869,17.248886070686076,12485.51534106029,214,268,-1.8814968814968815,1.8814968814968815,9.272144698892525,3.303925128596018,57.0,50.0,47.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,JUNEESF1,2092,2092,4912.9997852621855,12.403017827442829,1628.4791271517672,4.543166455301456,3284.5206581104185,214,268,-1.021829521829522,1.021829521829522,2.34847026064158,0.778431705139468,84.0,84.0,82.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,LDBESS1,128,128,0.0,0.0,0.0,-0.0,0.0,18,36,10.683760683760683,10.683760683760683,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,LIMBESS1,128,128,0.0,0.0,0.0,0.0,0.0,18,36,-1.0042735042735043,1.0042735042735043,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,LIMOSF11,2092,2092,36782.363549636175,93.89176967775468,11964.322953329869,30.612837681912698,24818.04059630631,214,268,-1.0051975051975053,1.0051975051975053,17.582391754128192,5.71908362969879,37.0,34.0,28.0,5
