name,direction,season,day_period,units_n,capacity_effect,at_limit_effect,flow_effect
Murraylink,forward,Summer,Evening peak,648,-13.19615083333332,-0.19135802469135801,-20.626010833333325
Murraylink,forward,Summer,Morning peak,383,-12.514871666666693,0.01174934725848564,-9.586855833333345
Murraylink,forward,Summer,Overnight,980,-18.699928750000012,0.04183673469387755,-15.801906666666667
Murraylink,forward,Summer,Solar period,963,-2.5019366666666656,-0.12045690550363447,-4.56264166666665
Murraylink,forward,Winter,Evening peak,892,-4.612269166666671,0.03587443946188341,-7.09056
Murraylink,forward,Winter,Morning peak,488,-1.6666666666666669e-06,0.0471311475409836,0.0
Murraylink,forward,Winter,Overnight,1085,0.0,0.11658986175115207,0.0
Murraylink,forward,Winter,Solar period,1456,0.0,-0.026785714285714284,-5.0131074999999985
Murraylink,reverse,Autumn,Evening peak,1255,-1.6666666666666643,-0.05139442231075697,-1.5
Murraylink,reverse,Autumn,Morning peak,864,1.5,-0.04513888888888889,2.4963966666666693
Murraylink,reverse,Autumn,Overnight,1852,-3.0,-0.06398488120950324,-6.0
Murraylink,reverse,Autumn,Solar period,2237,5.367979999999989,-0.025257040679481448,4.297516666666667
Murraylink,reverse,Spring,Evening peak,897,-1.6666666666666669e-06,0.046822742474916385,0.0
Murraylink,reverse,Spring,Morning peak,714,-2.9090566666666646,0.014705882352941176,-1.6329999999999885
Murraylink,reverse,Spring,Overnight,1260,0.0,0.023809523809523808,1.4930712499999998
Murraylink,reverse,Spring,Solar period,1794,-6.687826666666666,-0.030379041248606464,-4.664233333333357
Murraylink,reverse,Summer,Evening peak,640,31.048601666666666,0.04140625,21.22048875
Murraylink,reverse,Summer,Morning peak,381,16.575433333333336,0.026246719160104987,10.86196833333333
Murraylink,reverse,Summer,Overnight,995,16.153286666666673,0.004522613065326633,16.062135000000012
Murraylink,reverse,Summer,Solar period,961,5.446284999999989,0.040062434963579606,4.781338333333338
Murraylink,reverse,Winter,Evening peak,911,0.0,0.03238199780461032,4.200225000000001
Murraylink,reverse,Winter,Morning peak,503,0.0,-0.0019880715705765406,0.0
Murraylink,reverse,Winter,Overnight,1085,0.0,0.01889400921658986,0.0
Murraylink,reverse,Winter,Solar period,1504,5e-06,0.018284574468085107,4.337814166666666
QNI,forward,Autumn,Evening peak,803,-418.45922583333333,0.03424657534246575,-7.407119999999992
QNI,forward,Autumn,Morning peak,564,-329.9606416666667,0.01152482269503546,88.22726833333337
QNI,forward,Autumn,Overnight,1317,-398.51673833333336,0.02809415337889142,1.7995800000000486
QNI,forward,Autumn,Solar period,1464,-274.09284875000003,0.01366120218579235,48.965342500000055
QNI,forward,Spring,Evening peak,1232,-135.29200458333335,0.04017857142857143,12.80327666666668
QNI,forward,Spring,Morning peak,864,-139.47700666666663,0.017361111111111112,26.381225833333346
QNI,forward,Spring,Overnight,2096,-195.33875749999999,0.03196564885496183,13.432588333333335
QNI,forward,Spring,Solar period,2067,-131.28153333333336,0.011611030478955007,12.044818333333325
QNI,forward,Summer,Evening peak,220,2.3898191666666833,-0.06363636363636363,-138.76992083333334
QNI,forward,Summer,Morning peak,225,8.069368333333387,0.008888888888888889,-52.102515
QNI,forward,Summer,Overnight,392,27.32577500000002,-0.05229591836734694,-90.38779500000004
QNI,forward,Summer,Solar period,522,-31.78989333333334,0.05842911877394636,83.9121029166667
QNI,forward,Winter,Evening peak,1005,-18.279406666666663,0.016417910447761194,15.139437499999985
QNI,forward,Winter,Morning peak,655,-68.76473250000004,0.02366412213740458,59.18805166666664
QNI,forward,Winter,Overnight,1639,-49.70802166666667,0.021049420378279438,-15.436400000000049
QNI,forward,Winter,Solar period,1714,-59.88611249999991,0.004667444574095682,-4.814331666666703
QNI,reverse,Autumn,Evening peak,855,-456.0061466666665,0.3684210526315789,-0.09208833333332223
QNI,reverse,Autumn,Morning peak,606,-255.30682083333332,0.33910891089108913,-79.3105825
QNI,reverse,Autumn,Overnight,1407,-437.1182583333334,0.4506041222459133,14.169751666666665
QNI,reverse,Autumn,Solar period,1584,-156.50249583333334,0.19412878787878787,-48.16056999999995
QNI,reverse,Spring,Evening peak,1381,-164.67097499999988,0.20818247646632876,-12.071935000000003
QNI,reverse,Spring,Morning peak,961,-136.46315749999997,0.2065556711758585,-16.63848500000003
QNI,reverse,Spring,Overnight,2352,-179.24186166666678,0.251062925170068,-2.7215291666666985
QNI,reverse,Spring,Solar period,2314,-112.16319333333334,0.15190146931719967,-2.75827666666666
