ic,name,direction,GENCONSETID,effect_capacity,effect_directional_flow,effect_headroom,ci_lo_directional_flow,ci_hi_directional_flow,flow_pass_through,headroom_absorbed,episodes,treated_hours,effect_at_limit,treated_at_limit,control_at_limit
V-S-MNSP1,Murraylink,reverse,N-LTUT_64_15M,12.951436666666652,-4.917605,3.0009583333333296,-20.51650833333335,13.641821666666658,,,9,425.0,-0.034755134281200625,0.11216429699842022,0.14691943127962084
V-S-MNSP1,Murraylink,forward,S-BGDV,3.797506666666667,2.2877083333333275,0.0,-17.721909833333335,21.0,,,5,191.5,0.08425414364640882,0.39779005524861877,0.31353591160220995
V-S-MNSP1,Murraylink,reverse,S-BGDV,3.793065000000013,-3.805621666666667,0.0,-22.948544999999996,14.280371666666667,,,5,191.5,0.06767955801104972,0.17679558011049723,0.10911602209944751
V-S-MNSP1,Murraylink,forward,S-PA_VC1,-1.2499999999999999e-05,0.0,-8.333333312293689e-07,-4.679578333333332,1.9784216250000122,,,21,569.5,0.07193515704154002,0.3586626139817629,0.2867274569402229
V-S-MNSP1,Murraylink,reverse,S-PA_VC1,0.0,0.0,0.0,-1.6278083333333484,5.315204999999992,,,21,569.5,0.0476190476190476,0.1691995947315096,0.12158054711246201
V-S-MNSP1,Murraylink,forward,S-RBTU,-5.874647916666667,-4.4004295833333416,0.0,-18.969760333333365,3.8129516666666667,,,13,339.5,-0.085387323943662,0.16725352112676056,0.25264084507042256
V-S-MNSP1,Murraylink,reverse,S-RBTU,8.860152500000002,4.0123966666666675,1.5,-3.9981266666666784,19.729019166666667,,,13,339.5,-0.08010563380281689,0.051056338028169015,0.1311619718309859
V-S-MNSP1,Murraylink,forward,S-TBSE,0.0,1.22079041666667,-3.3333333249174757e-06,-7.490552500000007,19.406131875000007,,,48,1023.0,0.09218750000000003,0.326875,0.2346875
V-S-MNSP1,Murraylink,reverse,S-TBSE,-19.3709375,-3.294009166666666,0.0,-22.403896687499998,6.328926729166668,,,48,1023.0,-0.031250000000000014,0.119375,0.150625
V-S-MNSP1,Murraylink,forward,S-X_BRMN_RBTU,0.41433000000000675,3.0908150000000205,0.0,-10.9995101875,13.82807666666666,,,5,356.0,-0.02677029360967187,0.17443868739205526,0.20120898100172713
V-S-MNSP1,Murraylink,reverse,S-X_BRMN_RBTU,0.6666666666666643,-2.4910533333333404,1.4347166666666737,-12.741860041666664,9.004390354166663,,,5,356.0,-0.05526770293609672,0.04317789291882556,0.09844559585492228
V-S-MNSP1,Murraylink,forward,V-ARCW,-60.91586583333333,-90.15511666666666,43.548175416666666,-158.86626,-77.44953166666666,1.4799940119595827,-0.7148905268097985,5,29.0,-0.4519230769230769,0.019230769230769232,0.47115384615384615
V-S-MNSP1,Murraylink,reverse,V-ARCW,138.7784725,94.30106333333333,55.286085833333324,71.46567,140.16768333333331,0.6795078633923812,0.3983765265418477,5,29.0,0.23076923076923078,0.23076923076923078,0.0
V-S-MNSP1,Murraylink,forward,V-AR_WB_BA,-55.253805416666665,-32.56232,0.0,-76.77207666666666,1.3861606249999938,0.5893226675420614,-0.0,16,129.0,0.09490740740740744,0.5601851851851852,0.4652777777777778
V-S-MNSP1,Murraylink,reverse,V-AR_WB_BA,19.017499166666664,25.481482500000006,0.1262262500000091,-6.927537479166668,78.67677549999993,,,16,129.0,0.11574074074074073,0.16666666666666666,0.05092592592592592
V-S-MNSP1,Murraylink,reverse,V-BAML1_15M,0.2662549999999726,3.834495000000004,-1.6666666908804473e-06,-6.056041666666687,17.925058333333332,,,11,108.0,0.04066985645933015,0.1291866028708134,0.08851674641148326
V-S-MNSP1,Murraylink,forward,V-CRML,-3.5442583333333175,-7.333333333333333,0.0,-38.720436666666664,10.133725000000013,,,12,150.5,0.09107806691449813,0.21189591078066913,0.120817843866171
V-S-MNSP1,Murraylink,reverse,V-CRML,0.0,7.080046666666667,-0.5100283333333353,-10.133725000000013,38.720436666666664,,,12,150.5,0.15055762081784388,0.24535315985130113,0.09479553903345725
V-S-MNSP1,Murraylink,forward,V-DDMS,3.27026833333332,1.2454183333333475,0.0,-19.99549166666668,35.293113333333324,,,9,199.0,0.10339506172839508,0.39814814814814814,0.29475308641975306
V-S-MNSP1,Murraylink,reverse,V-DDMS,2.0034774999999883,-0.03357416666666779,0.0,-28.591911666666675,19.5,,,9,199.0,0.13117283950617284,0.1882716049382716,0.05709876543209876
V-S-MNSP1,Murraylink,forward,V-DDSM,-9.782168333333374,-14.687495833333337,0.0,-69.01746499999999,9.0,,,8,99.0,-0.08496732026143788,0.38562091503267976,0.47058823529411764
V-S-MNSP1,Murraylink,reverse,V-DDSM,0.0,13.5,-3.3333333346874383e-06,-9.005576666666656,58.24171333333334,,,8,99.0,0.1503267973856209,0.16339869281045752,0.013071895424836602
V-S-MNSP1,Murraylink,forward,V-HYMO,30.036642500000006,32.88630500000001,0.0,-12.949845999999987,131.63086583333333,1.0948728706945192,0.0,7,67.5,0.295,0.72,0.425
V-S-MNSP1,Murraylink,reverse,V-HYMO,-54.508530833333324,-23.26421500000002,-1.6666666624587378e-06,-131.63086583333333,14.623169999999988,0.4267995237503883,3.057625360615167e-08,7,67.5,0.1,0.19,0.09
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,-7.679114166666658,-3.700591666666682,0.0,-57.806063333333334,8.077860000000001,,,7,78.0,-0.024999999999999967,0.45,0.475
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,3.2457595833333386,3.0813908333333586,0.03333208333332265,-8.684841666666667,41.39037333333333,,,7,78.0,0.075,0.07857142857142857,0.0035714285714285713
V-S-MNSP1,Murraylink,reverse,V-KMRC,21.000000000000004,15.106315833333333,7.50000000948603e-06,2.377628333333334,35.31214,,,20,174.5,0.09740259740259741,0.2012987012987013,0.1038961038961039
V-S-MNSP1,Murraylink,forward,V-MLSY_NOEMTT_R,4.141393333333355,2.756775833333336,0.0,-0.9311683750000036,10.311010499999979,,,11,861.0,0.07997118155619598,0.43011527377521613,0.35014409221902015
V-S-MNSP1,Murraylink,reverse,V-MLSY_NOEMTT_R,-4.200459999999983,-2.4421025000000043,0.0,-9.433425833333331,1.1533334583333255,,,11,861.0,0.006844380403458222,0.0936599423631124,0.08681556195965417
V-S-MNSP1,Murraylink,forward,V-MRKM,-51.72699583333334,-45.64110875,5.547610000000013,-70.76388833333334,-19.07815791666667,0.8823460170982608,-0.10724786759073844,11,97.5,-0.07022471910112363,0.23595505617977527,0.3061797752808989
V-S-MNSP1,Murraylink,reverse,V-MRKM,50.916669166666665,38.078565,9.369425000000014,13.958631666666669,62.95401,0.74786048701176,0.18401488458192083,11,97.5,0.016853932584269662,0.0898876404494382,0.07303370786516854
V-SA,Heywood,forward,I-X_BDBU+HYSE,93.0043425,88.799905,-0.0012199999999893407,-536.7294133333334,204.189145,0.9547931054939719,-1.3117667059356294e-05,5,42.5,0.3058823529411765,0.5294117647058824,0.2235294117647059
V-SA,Heywood,reverse,I-X_BDBU+HYSE,52.864003333333315,-109.68509666666668,117.3545566666667,-204.189145,536.7294133333334,-2.0748541493357715,2.219933211011073,5,42.5,0.017647058823529432,0.2235294117647059,0.20588235294117646
V-SA,Heywood,forward,N-BABU,16.863709166666723,-7.731325000000005,9.801889166666676,-103.87113856250004,52.486543874999846,,,21,514.5,-0.001210653753026647,0.28329297820823246,0.2845036319612591
V-SA,Heywood,forward,S-BGDV,-39.28463999999998,-54.755974166666675,-24.17059750000001,-205.26625833333333,82.4842325,1.393826548153851,0.6152683975212709,5,191.5,0.04483695652173912,0.14945652173913043,0.10461956521739131
V-SA,Heywood,reverse,S-BGDV,0.0,43.933122499999996,-11.378285833333297,-84.30202499999999,201.51843333333332,,,5,191.5,0.023097826086956527,0.12771739130434784,0.10461956521739131
V-SA,Heywood,forward,S-KNPW,-91.51341000000002,-57.651286666666664,1.6666666624587378e-06,-206.52993666666663,110.00975333333334,0.6299763790538092,-1.8212267059644454e-08,7,133.0,-0.09656652360515022,0.09871244635193133,0.19527896995708155
V-SA,Heywood,reverse,S-KNPW,42.82729166666664,95.22682833333337,-1.9999999995690132e-05,-67.71020833333333,198.89112691666648,2.223508062907708,-4.6699193942391047e-07,7,133.0,-0.027896995708154515,0.06437768240343347,0.09227467811158799
V-SA,Heywood,forward,S-PA_VC1,-10.369869999999992,16.931218333333348,-17.474746666666586,-57.190506666666685,88.94294166666674,,,21,569.5,0.09451219512195119,0.27540650406504064,0.18089430894308944
V-SA,Heywood,reverse,S-PA_VC1,-61.712803750000006,-19.154759166666672,-12.935933750000007,-85.6419664375,53.63107750000002,0.3103854954356481,0.20961507116746428,21,569.5,0.06046747967479675,0.15853658536585366,0.09806910569105691
V-SA,Heywood,forward,S-RBTU,4.733400000000003,30.475570000000005,-18.44278083333336,-123.49343749999991,195.20811358333316,,,13,339.5,-0.02741020793950849,0.14933837429111532,0.1767485822306238
V-SA,Heywood,reverse,S-RBTU,-3.8745016666666743,-36.727831666666674,55.44159833333333,-203.46714454166667,119.23031,,,13,339.5,-0.027410207939508505,0.04914933837429111,0.07655954631379962
V-SA,Heywood,forward,S-SECB6611_10,0.5806483333333254,-40.857789999999994,-1.6666666624587378e-06,-101.77446604166667,14.175989354166653,,,38,1434.5,0.03420826161790014,0.2870051635111876,0.25279690189328746
V-SA,Heywood,reverse,S-SECB6611_10,29.77552750000001,38.30081291666666,-2.5000000505315256e-06,-15.986945624999999,98.02550789583331,1.2863185351348232,-8.396157047197652e-08,38,1434.5,0.023450946643717732,0.12392426850258176,0.10047332185886403
V-SA,Heywood,forward,S-SE_1CP,-32.542709583333306,-45.005057499999936,-14.511171666666648,-124.68457833333335,14.041272083333194,1.3829536039325134,0.44591159901751143,20,307.5,-0.02224576271186441,0.059322033898305086,0.0815677966101695
V-SA,Heywood,reverse,S-SE_1CP,4.0759166666666715,39.96553833333333,-18.832147500000048,-17.275769541666662,130.56837029166664,,,20,307.5,0.003177966101694907,0.13983050847457626,0.13665254237288135
