ic,name,direction,season,variable,regime,n,p10,p20,p80,p90,value_median,flow_median,capacity_median,tight_capacity_median,headroom_median,restricted_rate,forced_rate
NSW1-QLD1,QNI,forward,Autumn,humidity_mean,low,2656,51.39166666666667,58.91666666666667,88.66666666666666,91.66666666666667,51.458333333333336,-446.7487166666667,622.6974708333332,599.151755,849.8540908333334,0.3207831325301205,0.058734939759036146
NSW1-QLD1,QNI,forward,Autumn,humidity_mean,normal,7977,51.39166666666667,58.91666666666667,88.66666666666666,91.66666666666667,78.0,-304.34364166666666,559.36299,546.67703,712.7170716666667,0.25297730976557603,0.09051021687351135
NSW1-QLD1,QNI,forward,Autumn,humidity_mean,high,2615,51.39166666666667,58.91666666666667,88.66666666666666,91.66666666666667,91.75,-222.54552166666667,531.11814,515.90868,620.0928816666667,0.23250478011472275,0.14378585086042064
NSW1-QLD1,QNI,forward,Autumn,source_wind,low,2650,133.99677716666667,253.22553233333338,1150.5989213333332,1416.8054144999999,133.98088416666667,-493.76473583333336,543.1890308333334,525.78349,901.5327608333332,0.3071698113207547,0.10641509433962264
NSW1-QLD1,QNI,forward,Autumn,source_wind,normal,7948,133.99677716666667,253.22553233333338,1150.5989213333332,1416.8054144999999,624.8432058333333,-319.3190025,552.7049141666666,539.72,708.4487133333333,0.2814544539506794,0.10669350780070458
NSW1-QLD1,QNI,forward,Autumn,source_wind,high,2650,133.99677716666667,253.22553233333338,1150.5989213333332,1416.8054144999999,1416.8159508333333,-60.374299166666674,589.2053908333332,576.78422,595.9443591666668,0.1611320754716981,0.04679245283018868
NSW1-QLD1,QNI,forward,Autumn,source_solar,low,3869,0.0,0.0,2141.053340666667,2642.1786268333344,0.0,-287.64929333333333,411.11245499999995,400.367,589.4764233333334,0.35952442491599895,0.1558542258981649
NSW1-QLD1,QNI,forward,Autumn,source_solar,normal,6729,0.0,0.0,2141.053340666667,2642.1786268333344,60.11060333333333,-279.48820166666667,577.0845133333333,566.79282,750.0133583333334,0.19378808143854956,0.08708574825382671
NSW1-QLD1,QNI,forward,Autumn,source_solar,high,2650,0.0,0.0,2141.053340666667,2642.1786268333344,2642.3773091666667,-449.12411083333336,712.8274741666667,675.154135,842.2065816666666,0.29547169811320756,0.024528301886792454
NSW1-QLD1,QNI,forward,Autumn,source_vre,low,2650,339.616957,557.0659666666667,2642.315963666667,3185.9738410000004,339.57953833333335,-399.05164833333333,464.5949391666666,448.88554999999997,757.9889633333333,0.2890566037735849,0.16566037735849057
NSW1-QLD1,QNI,forward,Autumn,source_vre,normal,7948,339.616957,557.0659666666667,2642.315963666667,3185.9738410000004,1267.1198366666667,-249.01112416666666,567.7308766666666,554.865605,678.8029475000001,0.23905385002516355,0.09285354806240563
NSW1-QLD1,QNI,forward,Autumn,source_vre,high,2650,339.616957,557.0659666666667,2642.315963666667,3185.9738410000004,3186.0708649999997,-412.78507749999994,695.7283908333333,656.07797,801.5704916666666,0.30641509433962266,0.029056603773584905
NSW1-QLD1,QNI,forward,Autumn,sink_vre,low,2650,323.05469516666665,466.63576366666666,2092.717084666667,2529.159465333333,323.0493808333333,-86.14372166666666,545.0325425,537.939195,552.1687316666666,0.12452830188679245,0.08566037735849057
NSW1-QLD1,QNI,forward,Autumn,sink_vre,normal,7948,323.05469516666665,466.63576366666666,2092.717084666667,2529.159465333333,1015.874575,-296.13931833333334,557.4492333333333,542.351325,706.9019383333333,0.2786864620030196,0.11877201811776547
NSW1-QLD1,QNI,forward,Autumn,sink_vre,high,2650,323.05469516666665,466.63576366666666,2092.717084666667,2529.159465333333,2529.1672966666665,-552.2738691666666,687.5601225,647.14538,1074.0017375000002,0.3520754716981132,0.03132075471698113
NSW1-QLD1,QNI,forward,Autumn,vre_difference,low,2650,-521.0974988333334,-245.89351133333332,845.7928956666669,1187.141507666667,-521.1566025000001,-547.0362775,313.6019958333334,281.847,792.9547941666666,0.49245283018867925,0.16641509433962265
NSW1-QLD1,QNI,forward,Autumn,vre_difference,normal,7948,-521.0974988333334,-245.89351133333332,845.7928956666669,1187.141507666667,251.3677141666667,-281.08407166666666,565.4955991666667,555.7514699999999,739.1727683333332,0.2293658782083543,0.09071464519375944
NSW1-QLD1,QNI,forward,Autumn,vre_difference,high,2650,-521.0974988333334,-245.89351133333332,845.7928956666669,1187.141507666667,1187.1779916666667,-18.237944166666665,617.7609858333333,597.843565,538.8490416666666,0.1320754716981132,0.03471698113207547
NSW1-QLD1,QNI,forward,Autumn,residual_difference,low,2650,-591.256337333333,7.190476000000336,1695.1088686666653,2143.9950191666658,-591.2584899999995,82.71239,645.4656075,619.057625,479.06548,0.12867924528301886,0.018113207547169812
NSW1-QLD1,QNI,forward,Autumn,residual_difference,normal,7948,-591.256337333333,7.190476000000336,1695.1088686666653,2143.9950191666658,880.4972250000001,-306.8540116666667,564.4586716666666,554.54317,754.1793241666667,0.24698037242073478,0.09235027679919476
NSW1-QLD1,QNI,forward,Autumn,residual_difference,high,2650,-591.256337333333,7.190476000000336,1695.1088686666653,2143.9950191666658,2144.061207499999,-562.730695,350.2757491666666,338.613255,850.8002575,0.4430188679245283,0.1781132075471698
NSW1-QLD1,QNI,forward,Autumn,source_vre_ramp_1h,low,2650,-330.6549513333334,-134.23645799999989,139.593109,328.68083483333436,-330.66902000000005,-327.59759833333334,544.7322783333334,521.4479799999999,710.1208058333334,0.2788679245283019,0.10037735849056603
NSW1-QLD1,QNI,forward,Autumn,source_vre_ramp_1h,normal,7948,-330.6549513333334,-134.23645799999989,139.593109,328.68083483333436,-3.4282949999999346,-279.05348749999996,554.4143816666667,545.8010400000001,692.44622,0.25591343734272776,0.09864116758933066
NSW1-QLD1,QNI,forward,Autumn,source_vre_ramp_1h,high,2650,-330.6549513333334,-134.23645799999989,139.593109,328.68083483333436,328.85684916666673,-412.7671241666667,588.0394758333333,568.91899,810.4091375,0.2660377358490566,0.07698113207547169
NSW1-QLD1,QNI,forward,Autumn,sink_vre_ramp_1h,low,2650,-331.46955449999973,-146.44768266666665,124.7128826666667,299.6098731666667,-331.53415416666644,-326.36602166666665,532.3873216666667,500.77635,685.5655808333333,0.32528301886792454,0.10830188679245283
NSW1-QLD1,QNI,forward,Autumn,sink_vre_ramp_1h,normal,7948,-331.46955449999973,-146.44768266666665,124.7128826666667,299.6098731666667,-1.0008191666667443,-267.38743666666664,560.4139883333332,552.27921,701.7274458333334,0.22521389028686462,0.09071464519375944
NSW1-QLD1,QNI,forward,Autumn,sink_vre_ramp_1h,high,2650,-331.46955449999973,-146.44768266666665,124.7128826666667,299.6098731666667,299.61659416666674,-450.21183499999995,572.8464366666667,552.573885,810.1472733333334,0.31169811320754715,0.09283018867924528
NSW1-QLD1,QNI,forward,Winter,temperature_mean,low,2664,6.699999999999999,8.566666666666666,16.933333333333334,18.700000000000003,6.712499999999999,-365.7420941666667,523.8398425,504.263825,786.7714475,0.13963963963963963,0.03003003003003003
NSW1-QLD1,QNI,forward,Winter,temperature_mean,normal,7936,6.699999999999999,8.566666666666666,16.933333333333334,18.700000000000003,12.483333333333333,-562.7066716666667,519.8270875000001,486.99633500000004,1024.4119099999998,0.2235383064516129,0.06539818548387097
NSW1-QLD1,QNI,forward,Winter,temperature_mean,high,2648,6.699999999999999,8.566666666666666,16.933333333333334,18.700000000000003,18.704166666666666,-685.7971616666666,667.4810316666667,631.4681800000001,1324.8200858333335,0.1797583081570997,0.06231117824773414
NSW1-QLD1,QNI,forward,Winter,temperature_max,low,2655,11.6,13.8,22.6,24.4,11.6,-304.87722333333335,515.0836783333333,493.56461,747.8960016666667,0.13785310734463277,0.036911487758945385
NSW1-QLD1,QNI,forward,Winter,temperature_max,normal,7965,11.6,13.8,22.6,24.4,17.9,-562.1197933333333,526.0427133333334,492.92326,1024.92954,0.22598870056497175,0.06340238543628374
NSW1-QLD1,QNI,forward,Winter,temperature_max,high,2628,11.6,13.8,22.6,24.4,24.4,-741.5269125,664.240765,630.49628,1362.327335,0.1735159817351598,0.06126331811263318
NSW1-QLD1,QNI,forward,Winter,humidity_mean,low,2655,50.641666666666666,59.5,90.0,92.66666666666667,50.666666666666664,-804.4235983333333,684.8173016666666,651.44438,1439.9799600000001,0.12843691148775896,0.05423728813559322
NSW1-QLD1,QNI,forward,Winter,humidity_mean,normal,7966,50.641666666666666,59.5,90.0,92.66666666666667,79.5,-537.4378866666666,509.39675249999993,474.782555,953.2631066666667,0.22909866934471504,0.06339442631182526
NSW1-QLD1,QNI,forward,Winter,humidity_mean,high,2627,50.641666666666666,59.5,90.0,92.66666666666667,92.66666666666667,-344.9924266666667,529.1973766666666,510.82722,765.9445766666666,0.17358203273696232,0.04377617053673392
NSW1-QLD1,QNI,forward,Winter,source_wind,low,2650,158.03356266666665,279.270276,1364.8112096666666,1717.3899598333335,158.03347333333332,-740.1751566666667,536.4218916666666,509.70885499999997,1248.3982933333332,0.24415094339622642,0.07886792452830188
NSW1-QLD1,QNI,forward,Winter,source_wind,normal,7948,158.03356266666665,279.270276,1364.8112096666666,1717.3899598333335,721.8904,-557.3524475,547.994355,522.81711,1046.0529866666666,0.19149471565173629,0.049949672873678914
NSW1-QLD1,QNI,forward,Winter,source_wind,high,2650,158.03356266666665,279.270276,1364.8112096666666,1717.3899598333335,1717.4179541666667,-244.97618166666666,559.8962916666667,526.984065,691.3804091666667,0.1709433962264151,0.059622641509433964
