source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
VNI,QNI,reverse,V-KG_WE_RC,123.05805333333336,-20.104849999999942,251.8103466666667
Heywood,QNI,reverse,V-KG_WE_RC,123.05805333333336,-20.104849999999942,251.8103466666667
Murraylink,QNI,reverse,V-KG_WE_RC,123.05805333333336,-20.104849999999942,251.8103466666667
Basslink,QNI,reverse,V-KG_WE_RC,123.05805333333336,-20.104849999999942,251.8103466666667
VNI,QNI,forward,V-KMRC,0.0,-33.55186241666673,20.415590000000066
Heywood,QNI,forward,V-KMRC,0.0,-33.55186241666673,20.415590000000066
Murraylink,QNI,forward,V-KMRC,0.0,-33.55186241666673,20.415590000000066
VNI,QNI,reverse,V-KMRC,27.23917833333337,-19.95335,82.08862166666665
Heywood,QNI,reverse,V-KMRC,27.23917833333337,-19.95335,82.08862166666665
Murraylink,QNI,reverse,V-KMRC,27.23917833333337,-19.95335,82.08862166666665
VNI,QNI,forward,V-MRKM,-12.624933333333388,-33.44030666666674,1.0241233333332502
Heywood,QNI,forward,V-MRKM,-12.624933333333388,-33.44030666666674,1.0241233333332502
Murraylink,QNI,forward,V-MRKM,-12.624933333333388,-33.44030666666674,1.0241233333332502
VNI,Directlink,forward,I-BURC,-7.933333333333337,-33.344116666666665,11.581227854166663
Murraylink,Directlink,forward,I-BURC,-7.933333333333337,-33.344116666666665,11.581227854166663
Murraylink,Directlink,forward,I-BURC_X1,3.5324283333333426,-0.0027331250000067063,8.788941687499998
Murraylink,Directlink,reverse,I-BURC_X1,-13.999976666666662,-25.142558416666656,-8.25
Murraylink,Directlink,forward,I-SVML_044,0.1423975000000084,-5.089863895833341,2.275993333333332
Murraylink,Directlink,reverse,I-SVML_044,1.8660949999999872,-4.933279999999996,18.14975000000001
Murraylink,Directlink,forward,I-SVML_088,2.662348333333334,-0.6123050000000063,17.930916666666675
Murraylink,Directlink,reverse,I-SVML_088,-16.82480333333332,-31.699688333333327,4.16670666666667
Murraylink,Directlink,forward,I-SVML_132,1.6644758333333343,-11.226255000000002,16.448016666666668
