ic,direction,asset,asset_description,voltage_kv,substation,region,area_label,families,episodes_listed,electrically_near,plants_within_50km,published_level,published_key,tier,effect_capacity,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,effect_at_limit,effect_directional_flow,effect_headroom,treated_capacity,control_capacity,treated_hours,episodes,match_rate,name
T-V-MNSP1,forward,EL20856,Halys 88852 275kV CB,275.0,Halys (S2),QLD1,north of Toowoomba (91 km),Q-X_BRHA_TWO,2,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),Tarong BESS (20 km); Tarong North Power Station (20 km); Tarong Power Station (20 km); Coopers Gap Wind Farm (31 km); Kingaroy Solar Farm (31 km),K2,Q-X_BRHA_TWO,supported,20.15106416666667,6.49442011522757,0.0,72.00673549999995,0.08450704225352113,29.487682499999977,-5.185750833333302,104.16666666666667,-101.08520250000001,72.0,20.0,0.9861111111111112,Basslink
T-V-MNSP1,reverse,EL20856,Halys 88852 275kV CB,275.0,Halys (S2),QLD1,north of Toowoomba (91 km),Q-X_BRHA_TWO,2,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),Tarong BESS (20 km); Tarong North Power Station (20 km); Tarong Power Station (20 km); Coopers Gap Wind Farm (31 km); Kingaroy Solar Farm (31 km),K2,Q-X_BRHA_TWO,supported,-28.073334166666655,-7.511020328426083,-106.40182341666669,-3.9669183333332967,-0.08098591549295775,-29.487682499999977,0.0,125.0,296.2248225,72.0,20.0,0.9861111111111112,Basslink
T-V-MNSP1,forward,EL32526,Kiamal SF-Red Cliffs 220kV LINE,220.0,Kiamal SF,VIC1,,V-RCTS_BUS2,8,DARTM1 (-2.97); WKIEWA1 (-2.97); WKIEWA2 (-2.97); MCKAY1 (-2.97); MURRAY (-2.39); NUMURSF1 (-1.12),,K1xK2,EL32526 × V-RCTS_BUS2,indicative,14.396698333333333,4.836575074521614,-0.21464499999996178,38.64977833333333,0.0,-3.6321333333333428,23.232618333333278,-112.71719666666667,-129.07888333333332,43.5,4.0,1.0,Basslink
T-V-MNSP1,reverse,EL32526,Kiamal SF-Red Cliffs 220kV LINE,220.0,Kiamal SF,VIC1,,V-RCTS_BUS2,8,DARTM1 (-2.97); WKIEWA1 (-2.97); WKIEWA2 (-2.97); MCKAY1 (-2.97); MURRAY (-2.39); NUMURSF1 (-1.12),,K1xK2,EL32526 × V-RCTS_BUS2,indicative,-12.386861666666675,-3.7537118427302363,-53.572550000000035,7.338219999999978,0.0,7.342164999999966,-0.0008166666666511446,297.65162833333335,301.1465616666667,43.5,4.0,1.0,Basslink
T-V-MNSP1,forward,GORDON/BUS/7MNA,Gordon A 220kV BUS,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,1,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,23.904020000000003,19.123216000000003,14.484374937500009,38.251210999999955,0.005511811023622047,28.995747083333356,-9.840073333333322,-202.2168258333333,-242.150005,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,reverse,GORDON/BUS/7MNA,Gordon A 220kV BUS,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,1,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,-27.258933749999983,-7.226129484218804,-42.41048250000006,-15.296673250000017,-0.14685039370078734,-28.995747083333356,0.000674999999944248,403.04723083333334,452.0060433333333,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,forward,GORDON/CB/A752,Gordon A752 220kV CB,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,2,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,23.904020000000003,19.123216000000003,14.484374937500009,38.251210999999955,0.005511811023622047,28.995747083333356,-9.840073333333322,-202.2168258333333,-242.150005,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,reverse,GORDON/CB/A752,Gordon A752 220kV CB,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,2,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,-27.258933749999983,-7.226129484218804,-42.41048250000006,-15.296673250000017,-0.14685039370078734,-28.995747083333356,0.000674999999944248,403.04723083333334,452.0060433333333,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,forward,GORDON/LINE/GO_CS1,Gordon ChapelSt 1 220kV LINE,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,2,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,23.904020000000003,19.123216000000003,14.484374937500009,38.251210999999955,0.005511811023622047,28.995747083333356,-9.840073333333322,-202.2168258333333,-242.150005,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,reverse,GORDON/LINE/GO_CS1,Gordon ChapelSt 1 220kV LINE,220.0,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,2,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,-27.258933749999983,-7.226129484218804,-42.41048250000006,-15.296673250000017,-0.14685039370078734,-28.995747083333356,0.000674999999944248,403.04723083333334,452.0060433333333,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,forward,GORDON/TRANS/GTR3 ,Gordon 6 220/22kV XFMR,,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,1,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,23.904020000000003,19.123216000000003,14.484374937500009,38.251210999999955,0.005511811023622047,28.995747083333356,-9.840073333333322,-202.2168258333333,-242.150005,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,reverse,GORDON/TRANS/GTR3 ,Gordon 6 220/22kV XFMR,,Gordon,TAS1,south-east of Queenstown (81 km),F-T-GO_CB_A752,1,GORDON (+1.00),Gordon Power Station Control Building (0 km),K2,F-T-GO_CB_A752,indicative,-27.258933749999983,-7.226129484218804,-42.41048250000006,-15.296673250000017,-0.14685039370078734,-28.995747083333356,0.000674999999944248,403.04723083333334,452.0060433333333,876.0,4.0,0.7248858447488584,Basslink
T-V-MNSP1,forward,H148_DMN/LINE/275KV_8785,H148_DMN-H98_WBWF 8785 275kV LINE,275.0,H148 DIAMONDY,QLD1,,Q-X_BRHA_TWO,2,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),,K2,Q-X_BRHA_TWO,supported,20.15106416666667,6.49442011522757,0.0,72.00673549999995,0.08450704225352113,29.487682499999977,-5.185750833333302,104.16666666666667,-101.08520250000001,72.0,20.0,0.9861111111111112,Basslink
T-V-MNSP1,reverse,H148_DMN/LINE/275KV_8785,H148_DMN-H98_WBWF 8785 275kV LINE,275.0,H148 DIAMONDY,QLD1,,Q-X_BRHA_TWO,2,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),,K2,Q-X_BRHA_TWO,supported,-28.073334166666655,-7.511020328426083,-106.40182341666669,-3.9669183333332967,-0.08098591549295775,-29.487682499999977,0.0,125.0,296.2248225,72.0,20.0,0.9861111111111112,Basslink
