ic,direction,state,season,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
NSW1-QLD1,reverse,booked_only,Summer,431,551.2277266666666,955.4257216666666,1136.6612183333334,-166.84536166666666,1154.5206483333332,0.06264501160092807,0.048723897911832945,QNI
NSW1-QLD1,reverse,booked_only,Winter,1957,869.4485559999999,1094.8350016666666,1194.2735996666665,674.2432966666667,397.3446716666667,0.256004087889627,0.0030659172202350538,QNI
NSW1-QLD1,reverse,clear,Autumn,4472,812.1116253333333,1066.6779075,1168.6904078333332,293.12075,741.9764191666666,0.08497316636851521,0.0017889087656529517,QNI
NSW1-QLD1,reverse,clear,Spring,1811,676.5164883333333,993.71396,1144.9965949999998,182.411425,798.4101866666665,0.11706239646604086,0.020982882385422418,QNI
NSW1-QLD1,reverse,clear,Summer,4712,624.4692848333333,946.6217316666666,1128.2546828333334,0.8157008333333335,935.3073033333335,0.0948641765704584,0.025466893039049237,QNI
NSW1-QLD1,reverse,clear,Winter,1138,985.105662,1081.4321416666667,1187.755672,732.316575,357.96410416666663,0.2820738137082601,0.0,QNI
NSW1-QLD1,reverse,invoked_leading,Autumn,2224,104.30532366666667,438.62726083333337,695.9921013333334,405.3488841666667,-0.0012033333333221208,0.7517985611510791,0.5467625899280576,QNI
NSW1-QLD1,reverse,invoked_leading,Spring,174,95.851279,389.45364083333334,968.6004938333334,134.87584333333336,105.71983083333332,0.3505747126436782,0.5402298850574713,QNI
NSW1-QLD1,reverse,invoked_leading,Summer,369,72.14844966666669,743.1653316666667,1143.45,-124.21328666666666,860.329735,0.14905149051490515,0.31978319783197834,QNI
NSW1-QLD1,reverse,invoked_leading,Winter,1448,261.9806965,553.5993116666666,1085.7784111666665,534.4727933333334,0.0,0.6788674033149171,0.4088397790055249,QNI
NSW1-QLD1,reverse,invoked_nonleading,Autumn,2084,301.063274,922.595065,1126.8104901666666,255.76373833333335,549.5663858333334,0.2543186180422265,0.19577735124760076,QNI
NSW1-QLD1,reverse,invoked_nonleading,Spring,6299,97.6095556666667,392.59222,1113.3317003333334,195.61666666666667,80.25788666666666,0.395142086045404,0.5307191617717097,QNI
NSW1-QLD1,reverse,invoked_nonleading,Summer,3115,552.6042523333333,953.3395999999999,1138.007642,150.68454666666665,721.8102533333335,0.12295345104333869,0.06292134831460675,QNI
NSW1-QLD1,reverse,invoked_nonleading,Winter,4283,889.937608,1078.0,1195.115557,632.5979066666667,423.5252016666667,0.253560588372636,0.01774457156198926,QNI
NSW1-QLD1,reverse,partial,Autumn,11,943.8302866666667,1077.8280983333334,1136.0654666666667,226.07997666666665,888.8243833333333,0.09090909090909091,0.0,QNI
NSW1-QLD1,reverse,partial,Spring,5,370.09456666666665,593.53146,894.7210386666668,461.69295833333337,198.0346166666667,0.2,0.2,QNI
NSW1-QLD1,reverse,partial,Summer,13,463.18694533333337,822.3607783333333,1067.9654846666667,22.343313333333338,501.4035666666667,0.07692307692307693,0.15384615384615385,QNI
NSW1-QLD1,reverse,partial,Winter,6,1063.3087766666667,1100.0963658333335,1171.4147533333335,1002.5868774999999,72.9655166666667,0.5,0.0,QNI
T-V-MNSP1,forward,booked_only,Autumn,6,-150.39606416666666,-46.02344416666667,110.61208166666665,-93.91060833333333,49.1041125,0.0,0.8333333333333334,Basslink
T-V-MNSP1,forward,booked_only,Spring,41,125.0,125.0,294.3666666666666,0.0,125.0,0.0,0.6341463414634146,Basslink
T-V-MNSP1,forward,booked_only,Winter,311,-174.36934333333332,441.96614666666665,456.0,286.82343833333334,93.48600666666661,0.01607717041800643,0.2797427652733119,Basslink
T-V-MNSP1,forward,clear,Autumn,6177,-245.10000566666668,-68.06193,230.4131383333339,-79.576385,125.0,0.014570179698882952,0.564675408774486,Basslink
T-V-MNSP1,forward,clear,Spring,1809,-64.47216066666667,125.0,326.5597853333333,0.0,125.0,0.017689331122166942,0.6346047540077391,Basslink
T-V-MNSP1,forward,clear,Summer,4361,-179.84741499999998,-60.00277500000001,125.0,-60.0,103.7679683333333,0.002751662462737904,0.6223343269892226,Basslink
T-V-MNSP1,forward,clear,Winter,5982,-221.58500383333333,125.0,459.0,0.0,125.0,0.04329655633567369,0.6581410899364761,Basslink
T-V-MNSP1,forward,invoked_leading,Autumn,58,-253.9566705,-216.60163333333333,137.20050433333432,-451.8659175,219.65137249999998,0.0,0.8793103448275862,Basslink
T-V-MNSP1,forward,invoked_leading,Spring,3957,-223.88334366666666,-108.36330666666667,452.99611666666664,-144.83608,147.4928166666667,0.11776598433156432,0.6358352287086176,Basslink
