n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_at_limit,treated_at_limit,control_at_limit,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,ci_lo_at_limit,ci_hi_at_limit,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,ic,name,direction,GENCONSETID,state,share_of_invoked
92,92,1.0,46.0,4,0.5543478260869565,59.253973333333306,651.1031091666666,636.4917375,116.76231499999994,1335.6215441666666,1306.8079516666667,63.794680833333246,-706.5591633333333,-704.3554616666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.230625,633.500145,576.912235,-101.21023659212156,46.310221432000006,191.84097250431898,-177.94989446730096,25.8770393,271.55860518789143,10.497895465169556,-56.76850333333323,181.92352333333338,-261.62385000000006,298.0515433333335,-26.2249025000001,258.63581,0.0,0.0,-1.3279245788766634,-0.038957576669480146,0.07889265138513693,0.5334402995088066,1.1240260404306477,-0.15263519468468115,0.007744543589957108,-0.00559451077426917,1.6275430491445706,0.0,0.5334402995088066,0.5543478260869565,0.16304347826086957,0.2826086956521739,NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,booked_only,
92,92,1.0,46.0,4,0.5543478260869565,21.195541666666713,1132.4764241666667,1078.0,84.40611958333335,415.7159133333333,379.15004250000004,-50.15150999999997,706.5591633333333,699.73246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.470249999999965,1107.22,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9700083353063294,-12.67744499999992,31.180000000000064,-130.24998499999992,330.0771925,-269.51021666666674,143.98820999999998,0.0,0.0,-1.3279245788766634,-0.03607365311198398,0.07889265138513693,0.47347020812715884,1.1240260404306477,-0.10738083448170178,0.007744543589957108,-0.0009324184623783643,1.6275430491445706,0.0,0.47347020812715884,0.5543478260869565,0.2826086956521739,0.16304347826086957,NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,booked_only,
3645,1381,0.37887517146776406,1822.5,77,0.444605358435916,10.301221666666606,324.427185,333.6144366666667,14.937341666666498,494.67607000000004,482.47584750000004,-9.68287749999999,-256.8012283333333,-205.20039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.115219999999994,293.37017,317.3359,-27.401862070050697,12.775237599999999,87.29709326200418,-25.793761005999997,10.1431537,154.87773647715738,2.0891631813028235,-25.499242250000076,77.28377489583328,-28.39747975000001,85.50385833333337,-77.42705916666665,54.61983031249996,0.0,0.0,0.5988332156241228,0.030624534347100753,0.2192578696547822,-0.17879670573883613,-0.7766547539597789,0.1592515364106251,9.829544895940719e-05,-0.0005191152193044716,-0.08000041562692749,0.0,0.17879670573883613,0.444605358435916,0.12092686459087618,0.4344677769732078,NSW1-QLD1,QNI,forward,I-NQ_950_TEST,invoked_unbooked,1.0
3645,1381,0.37887517146776406,1822.5,77,0.444605358435916,31.472639166666568,722.8935766666667,788.391745,-0.0005399999999866623,321.67105333333336,214.9909133333333,9.68287749999999,256.8012283333333,205.20039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.78604000000007,652.76214,731.57281,0.0,13.106716237322521,2.3608000000000033,0.0,8.82849061662196,1.8583265720080862,3.4242715292539043,5.3194267916666185,52.433727416666805,-0.0025752500000486567,3.8700193958333258,-56.378857062499975,76.88998695833332,0.0,0.0,0.5988332156241228,0.027530775594029337,0.2192578696547822,-0.18013481852004945,-0.7766547539597789,0.15987094301260873,9.829544895940719e-05,-0.00024475063192049836,-0.08000041562692749,0.0,0.18013481852004945,0.444605358435916,0.13830557566980448,0.4170890658942795,NSW1-QLD1,QNI,reverse,I-NQ_950_TEST,invoked_unbooked,1.0
40,40,1.0,20.0,2,0.525,256.06102166666665,414.4501575,541.262405,280.41250208333315,600.7611041666667,1035.8060733333334,-35.27077833333334,-236.43310250000002,-628.8169783333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.94829999999996,405.48709,518.157935,-57.125054336358,84.53601808236832,491.04414706021055,-12.074685603999999,80.13261956533506,321.76343455558884,45.548911969666264,-19.357529999999997,288.05137666666667,-349.2134675000001,353.08736666666664,-96.01951666666673,67.15658666666664,0.0,0.0,1.028793267376051,0.155165088687846,-0.7402172610148223,-0.4155860036443772,0.3738642835848571,0.21124183877658517,-0.04691014663797766,0.008216186661780596,-0.41944619932010974,0.0,0.4155860036443772,0.525,0.075,0.4,NSW1-QLD1,QNI,forward,N-ARDM_8C,invoked_unbooked,0.012048192771084338
5,5,1.0,2.5,2,0.8,158.21801583333334,205.835405,50.4362075,98.69375833333334,302.24014666666665,222.9401375,54.93058500000001,-93.58592333333333,-141.46952666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,203.86739,188.15853,-30.51013,-732.6804275324872,452.1797545817259,1371.0463432994925,-245.98044025380716,513.2520794629442,759.2325197167513,33.13427834342139,-426.88415666666674,158.21801583333334,-592.8266716666667,98.69375833333334,47.88360333333334,271.70995166666665,0.0,1.0,1.3992055069975247,0.08146224293577048,0.7206077740081869,0.6307023849801714,-1.401318799477889,-0.08497860289770534,0.3001215861624265,-0.04688735654035855,0.9053492732291485,0.0,0.6307023849801714,0.8,0.0,0.2,NSW1-QLD1,QNI,forward,N-ARDM_8C,booked_only,
155,149,0.9612903225806452,77.5,6,0.020134228187919462,155.05008333333336,657.4810633333333,470.91763999999995,474.96136333333345,986.526725,452.29612,-252.04678333333334,-278.50256333333334,70.71661166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.25072999999998,606.12846,465.518715,-45.2347165888324,216.7224966741117,263.27054663959393,-224.2956313096446,286.04070082233505,513.26287,32.470844684015994,94.05373999999995,240.6340416666667,330.37582499999996,590.1434983333332,-435.1339711875,-193.50469666666666,0.0,0.0,-0.18986449942405295,-0.355654163647198,-0.18402757163176073,-0.3364098635536199,-0.5694360749271036,0.29773106514256586,0.04864397052144835,-0.012720545936096285,1.7624018837717155,0.0,0.355654163647198,0.020134228187919462,0.3087248322147651,0.6711409395973155,NSW1-QLD1,QNI,forward,N-ARDM_8C,withdrawn_booking,
40,40,1.0,20.0,2,0.525,-143.2514966666667,487.73945333333336,871.0464358333334,-135.32865291666656,1.6666666908804473e-06,249.82327999999984,35.27077833333334,236.43310250000002,628.8169783333334,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-141.250225,460.29076,838.4517000000001,-1.265185217427348,242.9244209930991,208.4104044555752,-4.005937801608579,231.69940046950876,221.11650769592535,-14.98470820402573,-463.22407166666676,-20.062567500000114,-277.099815,-97.81531999999993,-273.8851775,66.6185549999999,0.0,1.0,1.028793267376051,0.155165088687846,-0.7402172610148223,-0.4155860036443772,0.3738642835848571,0.21124183877658517,-0.04691014663797766,0.008216186661780596,-0.41944619932010974,0.0,0.4155860036443772,0.525,0.075,0.4,NSW1-QLD1,QNI,reverse,N-ARDM_8C,invoked_unbooked,0.012048192771084338
5,5,1.0,2.5,2,0.8,-80.82100333333334,93.58453833333333,205.44012833333332,-59.19910833333332,-0.0013849999999990814,59.19688833333333,-54.93058500000001,93.58592333333333,141.46952666666667,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,-9.416015000000002,67.57256,76.988575,-19.19975784462325,94.55417560321715,113.72775684681284,-385.0524505850069,111.51048927613941,521.9694280095821,-9.51121883044884,-1084.5733516666667,-80.82100333333334,-744.0616416666667,-59.19910833333332,-271.70995166666665,-54.93058500000001,0.0,0.0,1.3992055069975247,0.08146224293577048,0.7206077740081869,0.6307023849801714,-1.401318799477889,-0.08497860289770534,0.3001215861624265,-0.04688735654035855,0.9053492732291485,0.0,0.6307023849801714,0.8,0.0,0.2,NSW1-QLD1,QNI,reverse,N-ARDM_8C,booked_only,
155,149,0.9612903225806452,77.5,6,0.020134228187919462,49.52638333333334,1088.8482366666667,989.3959616666667,-223.59564333333333,789.6024983333332,958.7501341666666,266.13579166666665,278.50256333333334,-32.39937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.76798000000008,1064.07038,967.01157,0.0,0.0,0.0,0.0,0.0,0.0,5.828389284171977,15.053164999999808,144.9274233333332,-309.23425095833335,-129.3050883333334,193.50469666666666,416.07551279166654,0.0,0.0,-0.18986449942405295,-0.321581253578993,-0.18402757163176073,-0.28447497356214807,-0.5694360749271036,0.30496170688938457,0.04864397052144835,-0.01564263705970228,1.7624018837717155,0.0,0.321581253578993,0.020134228187919462,0.5906040268456376,0.38926174496644295,NSW1-QLD1,QNI,reverse,N-ARDM_8C,withdrawn_booking,
