fold,target,band,model,selected,MAPE ≥50 (%),MAPE coverage,MAE (MW; origin-balanced),DR-NMAE (%),>100 MW overstatement,>200 MW overstatement
2025-12,import_tight,2,seasonal_weekly,False,84.97128055368577,0.9387804290190407,354.0581466831567,96.354328190565,0.4032296939021451,0.29742106531694384
2025-12,import_tight,2,T0_mae,False,87.26084947797649,0.9387804290190407,364.64184734935316,107.72192722921052,0.3981682333092311,0.309472161966739
2025-12,import_tight,2,T6_mae,True,59.43017851903425,0.9387804290190407,281.68718845566735,77.17508172154253,0.2388527355989395,0.17281272595806219
2025-12,export,3,persistence,False,108.02501815681576,0.9364268192968112,316.3667633680824,88.15305618159968,0.4127146361406378,0.32297628781684384
2025-12,export,3,seasonal_daily,False,107.1078820417102,0.9364268192968112,305.3020393858859,94.553752425199,0.41905151267375307,0.30866721177432543
2025-12,export,3,seasonal_weekly,False,110.15139765672781,0.9364268192968112,309.56315310060063,95.96366903566576,0.437448896156991,0.32788225674570726
2025-12,export,3,T0_mae,False,106.26826660607065,0.9364268192968112,307.898148266932,87.19632366127254,0.4331561733442355,0.34035159443990187
2025-12,export,3,T6_mae,True,75.56349223543862,0.9364268192968112,235.88587273098992,73.14896474872455,0.3910466067048242,0.2757563368765331
2025-12,export_tight,3,persistence,False,110.04452820943224,0.9611610793131643,336.03575142020594,89.64991232675179,0.4172117743254293,0.33013082583810305
2025-12,export_tight,3,seasonal_daily,False,105.14034071786698,0.9611610793131643,323.83298868790223,92.84721691839184,0.4133278822567457,0.3186835650040883
2025-12,export_tight,3,seasonal_weekly,False,109.29711223617589,0.9611610793131643,331.3070542355212,95.97073874417067,0.43111201962387574,0.3286999182338512
2025-12,export_tight,3,T0_mae,False,106.3556667510798,0.9611610793131643,327.4511626588989,89.85236053450394,0.4382665576451349,0.34893704006541293
2025-12,export_tight,3,T6_mae,True,73.28550720611481,0.9611610793131643,245.08226293746128,71.06562702825933,0.3679476696647588,0.2555192150449714
2025-12,import,3,persistence,False,78.38264060181291,0.9758789860997547,312.09426401619476,86.68003495155428,0.3679476696647588,0.2782093213409648
2025-12,import,3,seasonal_daily,False,77.90528261452869,0.9758789860997547,312.42588549002573,74.05814005390646,0.36753883892068684,0.2759607522485691
2025-12,import,3,seasonal_weekly,False,77.37364615196665,0.9758789860997547,301.42834654172026,69.71530800234838,0.35384300899427634,0.25143090760425185
2025-12,import,3,T0_mae,False,75.08932769108205,0.9758789860997547,296.2485235263451,81.15877228801305,0.35384300899427634,0.26042518397383485
2025-12,import,3,T6_mae,True,59.63726782790777,0.9758789860997547,245.62827943343675,57.368151633566875,0.24754701553556827,0.16905151267375307
2025-12,import_tight,3,persistence,False,87.19676502011552,0.9370400654129191,366.1669037773488,115.51195893519326,0.38798037612428454,0.3008994276369583
2025-12,import_tight,3,seasonal_daily,False,85.78747195978428,0.9370400654129191,363.6127033552123,105.03118840312129,0.38368765331152904,0.2980376124284546
2025-12,import_tight,3,seasonal_weekly,False,84.49035145623257,0.9370400654129191,353.12116040926645,99.49910013504156,0.37653311529026984,0.2837285363859362
2025-12,import_tight,3,T0_mae,False,82.45067847956963,0.9370400654129191,347.25091736627434,108.59987874122668,0.36815208503679475,0.2839329517579722
2025-12,import_tight,3,T6_mae,True,63.182825350696284,0.9370400654129191,281.1831739154352,80.19876306079082,0.2782093213409648,0.2078904333605887
2026-01,export,0,persistence,False,84.77061253390097,0.9284557235421166,275.4245243421565,73.80230234316068,0.3156047516198704,0.21476781857451405
2026-01,export,0,seasonal_daily,False,56.42629080621929,0.9284557235421166,204.75381389831017,54.09531443772499,0.3205993520518359,0.18763498920086394
2026-01,export,0,seasonal_weekly,False,73.86635040167675,0.9284557235421166,269.8026538738784,69.99851895395166,0.28820194384449244,0.1910097192224622
2026-01,export,0,T0_mae,False,81.0757976154001,0.9284557235421166,260.3198283072656,68.90281920809313,0.3305885529157667,0.22178725701943844
2026-01,export,0,T6_mae,True,58.31084601308412,0.9284557235421166,179.78752788482288,49.44891903635325,0.44870410367170627,0.27956263498920086
2026-01,export_tight,0,persistence,False,96.26665651047695,0.9419546436285097,292.3814220444146,81.3493648478242,0.3220842332613391,0.22003239740820735
2026-01,export_tight,0,seasonal_daily,False,59.90382735347756,0.9419546436285097,209.117279448856,57.964075165087024,0.32397408207343414,0.1896598272138229
2026-01,export_tight,0,seasonal_weekly,False,85.1010418017079,0.9419546436285097,276.97341852680574,76.35178288825219,0.2819924406047516,0.20383369330453563
2026-01,export_tight,0,T0_mae,False,91.38565729956518,0.9419546436285097,276.51771588123347,76.5974276889086,0.33976781857451405,0.22610691144708422
2026-01,export_tight,0,T1_mae,False,91.24805547848068,0.9419546436285097,275.8955793936844,76.40840281518382,0.3385529157667387,0.22529697624190065
2026-01,export_tight,0,T2_mae,False,86.11297622816002,0.9419546436285097,261.50879736413054,72.02715356981967,0.32721382289416845,0.21584773218142547
2026-01,export_tight,0,T3_mae,False,87.46981662802023,0.9419546436285097,265.1495294460987,72.85577298653709,0.32896868250539957,0.21773758099352053
2026-01,export_tight,0,T4_mae,False,92.0247378430971,0.9419546436285097,274.32111094942576,75.29123796256711,0.36325593952483803,0.24311555075593952
2026-01,export_tight,0,T5_mae,False,74.00117231093644,0.9419546436285097,217.91060338731018,57.13542826637082,0.34975701943844495,0.22273218142548595
2026-01,export_tight,0,T6_mae,True,60.229166564435324,0.9419546436285097,183.13590521993413,52.75338696950303,0.43952483801295894,0.2709233261339093
2026-01,export_tight,0,T6_dr_nmae,False,59.797274295400385,0.9419546436285097,184.5404880846966,53.18680769711207,0.4221112311015119,0.2525647948164147
2026-01,export_tight,0,T5_dr_nmae,False,77.49333762648074,0.9419546436285097,224.15652528012367,56.37688920300485,0.4136069114470842,0.2628239740820734
2026-01,import,0,persistence,False,70.49131876570999,0.9304805615550756,206.28583389677735,75.24894833853757,0.2684935205183585,0.17535097192224622
2026-01,import,0,seasonal_daily,False,83.57728666325976,0.9304805615550756,242.5227963291461,84.39886518223189,0.36852051835853133,0.23353131749460043
2026-01,import,0,seasonal_weekly,False,110.68152668634656,0.9304805615550756,302.81977784127787,111.32995797207626,0.5330723542116631,0.39268358531317493
2026-01,import,0,T0_mae,False,67.50603579395067,0.9304805615550756,197.96003972591606,71.92566983406657,0.25728941684665224,0.16995140388768898
2026-01,import,0,T6_mae,True,60.92670319141622,0.9304805615550756,163.87763978305847,59.31995126581169,0.3095302375809935,0.16630669546436286
2026-01,import_tight,0,persistence,False,83.17258738464798,0.9163066954643628,228.05853080607898,89.57532335586318,0.2783477321814255,0.1931695464362851
2026-01,import_tight,0,seasonal_daily,False,101.04864008506402,0.9163066954643628,275.999214104419,104.1761100449909,0.3772948164146868,0.24703023758099352
2026-01,import_tight,0,seasonal_weekly,False,129.18389563176328,0.9163066954643628,331.49418578645134,133.68632430193685,0.5198434125269978,0.388633909287257
2026-01,import_tight,0,T0_mae,False,79.12849216268918,0.9163066954643628,219.31051221613936,86.42423087295955,0.267548596112311,0.1857451403887689
2026-01,import_tight,0,T1_mae,False,79.10566014754001,0.9163066954643628,219.2732506357656,86.3953130382231,0.26714362850971923,0.18601511879049676
2026-01,import_tight,0,T2_mae,False,78.34607138066816,0.9163066954643628,216.580011922791,85.55595985806893,0.2653887688984881,0.18453023758099352
2026-01,import_tight,0,T3_mae,False,78.69339301199692,0.9163066954643628,217.4462059265963,85.91361503510582,0.2653887688984881,0.1849352051835853
2026-01,import_tight,0,T4_mae,False,78.8800543862452,0.9163066954643628,219.4154236994177,86.85461445641481,0.2609341252699784,0.1826403887688985
2026-01,import_tight,0,T5_mae,False,77.41480394244591,0.9163066954643628,211.68395980524664,85.29753505198192,0.25715442764578833,0.1748110151187905
2026-01,import_tight,0,T6_mae,True,67.18908785650896,0.9163066954643628,183.8193233366721,72.57859390019799,0.2779427645788337,0.16765658747300216
2026-01,import_tight,0,T6_dr_nmae,False,67.20425620804947,0.9163066954643628,182.85700448881028,72.58326970938177,0.27767278617710583,0.17143628509719222
2026-01,import_tight,0,T5_dr_nmae,False,85.65578582722836,0.9163066954643628,227.22041832314375,83.64205626003177,0.3957883369330454,0.24014578833693304
2026-01,export,1,persistence,False,131.20210314573703,0.9286698828394211,442.03808618022333,117.05475284970473,0.4083390764989662,0.3277050310130944
2026-01,export,1,seasonal_daily,False,60.439910870458405,0.9286698828394211,223.22405523467756,58.293578188844265,0.32219159200551345,0.19986216402481047
2026-01,export,1,seasonal_weekly,False,74.2605346166913,0.9286698828394211,271.97598122522214,68.66248848901193,0.2894555478980014,0.19262577532736044
2026-01,export,1,T0_mae,False,123.61446687283019,0.9286698828394211,404.52598052780223,105.01473942676334,0.41523087525844243,0.34286698828394213
2026-01,export,1,T6_mae,True,75.0873098188578,0.9286698828394211,244.49252887658497,63.487361057283266,0.4669193659545141,0.3538938662991041
2026-01,export_tight,1,persistence,False,146.39381228167935,0.9424534803583735,470.4841589883801,127.67273705605116,0.4107512060647829,0.33080634045485874
2026-01,export_tight,1,seasonal_daily,False,66.2032812626756,0.9424534803583735,226.91568656869447,62.71334368438786,0.328394210889042,0.2064093728463129
2026-01,export_tight,1,seasonal_weekly,False,85.87104821700974,0.9424534803583735,278.90455063909775,74.7972333377783,0.28256374913852517,0.20503101309441765
2026-01,export_tight,1,T0_mae,False,136.06467923206768,0.9424534803583735,428.8035451457605,114.99559385404967,0.4266023432115782,0.3494141971054445
2026-01,export_tight,1,T6_mae,True,88.34785828386146,0.9424534803583735,272.8235969807225,74.61207978037727,0.5017229496898691,0.3883528600964852
2026-01,import,1,persistence,False,118.57870033993474,0.930737422467264,340.0442949658237,130.62685515883555,0.4166092350103377,0.3149552033080634
2026-01,import,1,seasonal_daily,False,85.71634860935504,0.930737422467264,248.62627927375257,94.19151530776804,0.38146106133700897,0.2501722949689869
