scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
overall,TALWB1,299,86,2159.9141873837816,0.0,2159.9141873837816,7.223793268842079,0.06688963210702341,161
overall,WKIEWA2,3194,1189,2098.7825773918235,646.5562698203682,2745.3388472121915,0.6571016209742716,0.06293049467752035,162
overall,QBYNB1,4585,1384,2056.5909131182716,1215.334548340602,3271.925461458873,0.4485476364489142,0.16357688113413305,163
overall,LVES1,533,171,2011.267534137614,1641.5674775119883,3652.835011649602,3.773485054667193,0.08067542213883677,164
overall,CG2,398,165,1992.1833093555097,24.189394148840314,2016.3727035043498,5.005485701898266,0.020100502512562814,165
overall,ER03,417,168,1976.5201939488145,4787.266009510435,6763.786203459249,4.739856580212985,0.20623501199040767,166
overall,WRSF1,565,215,1717.2408455919,1352.7567474695256,3069.997593061426,3.039364328481239,0.24955752212389382,167
overall,CHYTWF1,2363,929,1646.9567855396351,1275.4965746351968,2922.453360174832,0.6969770569359438,0.48201438848920863,168
overall,HUMENSW,7209,2522,1534.0081519684943,1906.3232949609032,3440.3314469293973,0.21279069939915304,0.1267859619919545,169
overall,SHPUMP,561,163,1295.5171983616758,829.80807845136,2125.325276813036,2.3092998188265166,0.0427807486631016,170
overall,ER04,417,168,1251.1068695278086,3532.720727579267,4783.827597107076,3.0002562818412675,0.20623501199040767,171
overall,RESS1G,762,264,1247.9484140632305,552.2547357458777,1800.2031498091083,1.6377275775108011,0.024934383202099737,172
overall,YWPS3,2268,893,1140.5083327095126,1040.1146152963256,2180.622948005838,0.5028696352334712,0.03218694885361552,173
overall,YWPS4,2268,893,1081.665910046965,1073.0693922133269,2154.735302260292,0.4769250044298788,0.04717813051146384,174
overall,MULWASF1,584,274,964.2746307322137,2995.079665758867,3959.3542964910807,1.651155189609955,0.21575342465753425,175
overall,PIBESS1,2932,1112,913.8870412303215,530.4193042173922,1444.3063454477137,0.31169407954649436,0.19645293315143247,176
overall,YWPS2,2268,893,884.9382074295368,342.91849504437045,1227.8567024739073,0.3901843948102014,0.023809523809523808,177
overall,YWPS1,1270,483,872.802291814343,466.894715105832,1339.697006920175,0.6872458990664118,0.04251968503937008,178
overall,BULBESL1,317,112,850.6912310696965,875.2842904642454,1725.975521533942,2.683568552270336,0.031545741324921134,179
overall,VBBG1,79,33,814.7718392741464,67.77067595818815,882.5425152323345,10.313567585748688,0.4430379746835443,180
overall,LANCSF1,1792,670,656.524770168939,1479.7916004340104,2136.316370602949,0.36636426906748826,0.078125,181
overall,LDBESS1,137,46,601.0841897238664,2697.659921300256,3298.744111024123,4.387475837400485,0.029197080291970802,182
overall,AGLSOM,548,197,554.1589479291792,175.1587719706499,729.3177198998292,1.0112389560751447,0.06751824817518248,183
overall,JLA03,591,192,488.6646718311786,86.99772727272726,575.6623991039058,0.8268437763640925,0.038917089678511,184
overall,MRNBESS1,1063,419,483.32515883313886,42.096,525.4211588331389,0.45468029993710146,0.005644402634054563,185
overall,JLB03,591,192,451.01440813325127,160.00848484848484,611.022892981736,0.7631377464183609,0.030456852791878174,186
overall,VBBL1,79,33,427.5806794425087,75.81468989547038,503.3953693379791,5.412413663829224,0.21518987341772153,187
overall,QPSFB1,433,142,328.4796566930878,115.68431388411821,444.1639705772061,0.7586135258500873,0.24942263279445728,188
overall,LNGS2,1807,616,306.1075104451081,728.7393641960674,1034.8468746411754,0.16940094656619153,0.004980630879911455,189
overall,JLA01,591,192,256.01969696969695,65.61174242424241,321.63143939393944,0.43319745680151767,0.021996615905245348,190
overall,JLB01,591,192,248.47339015151513,19.465454545454545,267.9388446969697,0.42042874814131154,0.011844331641285956,191
overall,JLA02,591,192,201.38853546754228,10.721685606060609,212.11022107360284,0.34075894326149286,0.021996615905245348,192
overall,BULBESG1,317,112,143.5908843559332,143.32075471698113,286.91163907291434,0.4529680894508934,0.031545741324921134,193
overall,JLB02,591,192,117.74916666666667,111.22625,228.97541666666666,0.19923716864072194,0.005076142131979695,194
overall,QPSFB2,433,142,77.41221162093187,117.01113535084583,194.42334697177773,0.17878108919383803,0.06235565819861432,195
overall,CG3,398,165,75.69458719929816,947.2453222453223,1022.9399094446205,0.1901874050233622,0.017587939698492462,196
