DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
WSTWYSF1,103301,1213179.110030865,13.365088902947784,215.65996892499996,609447.7128538557,603731.3971770094,7111,5752,24717,2489,2756,196484.09184596897,147323.78847311044,49160.30337285852,3883,24.0,54.0,0.1689464709834321,0.15228470358567112,939.0,12219,-1.0,1.0,-10.493179433368311,-0.8732690293979947,5.746431570109152,10.493179433368311,29,0.5460554071157362,20.717731468585352,28,43,21
YATSF1,154253,1193019.1213453237,25.608674534350012,497.38490566037717,725237.0311190713,467782.0902262524,10074,7609,18890,4206,2752,332656.0097608237,229636.8314224255,103019.17833839817,3692,24.0,79.0,-0.053716435732573356,-0.051383251083732775,287.0,6823,-1.0,1.0,-10.34013605442177,0.10717826834323388,9.433962264150944,10.34013605442177,30,0.3664879888822712,22.795000141197686,16,26,34
BHB1,360435,1111753.0116928732,3.1884527250113117,45.8104398765686,566493.7151610691,545259.2965318041,18623,18187,37474,6708,4891,128746.42210594568,61424.23073552569,67322.19137041998,2392,24.0,101.0,0.017512225196837504,-0.0019838237141019685,6975.0,16881,-1.0,1.0,-11.337868480725623,-0.9333171626137164,12.391573729863694,12.391573729863694,31,0.1284433227729152,3.2982994541978035,57,3,2
WEMENSF1,137759,1109759.6470548562,24.463633071972463,335.65242390909094,609553.897330214,500205.7497246422,8294,5918,9785,3361,1799,315675.2645991639,187046.5156082523,128628.74899091163,2498,24.0,79.0,-0.11591015978329196,-0.08841920915254785,329.0,6639,-1.0,0.868,-10.34013605442177,0.13176551945571788,9.503225806451614,10.34013605442177,32,0.301181577043646,22.552027442518963,22,41,51
BOMENSF1,101067,1107901.6138556276,12.155088999310117,144.820596425,555853.2725272913,552048.3413283363,6921,5574,23642,2422,2588,183790.7221187033,139307.27346314082,44483.44865556248,3901,24.0,50.0,0.20127319965910564,0.14290295645168907,880.0,12261,-1.0,1.0,-10.493179433368311,-0.8699331918154694,5.746431570109152,10.493179433368311,33,0.5636468718393296,20.128200182508426,32,48,32
SEBSF1,103301,1097469.8090136594,11.617008426315888,279.7767882249999,547369.6158398483,550100.193173811,7111,5752,24717,2489,2756,177287.25823614342,130699.39273531719,46587.865500826236,3317,24.0,54.0,0.1600080287995676,0.12284636193116669,1044.0,12246,-1.0,1.0,-10.493179433368311,-0.8735485352047245,5.746431570109152,10.493179433368311,34,0.46646041344396005,18.379889289174123,35,43,21
LIMOSF21,356211,1007960.3998388855,3.027161431952347,47.523216308040766,592996.2836447352,414964.11619415035,18241,17915,37123,6600,4862,245871.52844048408,207657.65667138886,38213.871769095225,9044,24.0,93.0,0.22246489655810395,0.17113470506351502,755.0,18055,-1.0,1.0,-13.227513227513228,-0.7773773676671534,8.82280049566295,13.227513227513228,35,0.4958061509785648,11.384115819932507,20,4,4
BANN1,137759,1006642.1980352303,22.262533415778204,293.2336681320752,562372.5646713496,444269.6333638806,8294,5918,9785,3361,1799,280278.7546839625,175202.04098382965,105076.71370013285,2485,24.0,79.0,-0.11389734421774117,-0.08691587932290269,241.0,6639,-1.0,0.868,-10.34013605442177,0.13176564205753868,9.503225806451614,10.34013605442177,36,0.29961417892452374,21.123949961879628,25,41,51
BRYB1WF1,87928,995506.0909104864,50.39966733615092,911.6001289308176,524874.0253000079,470632.0656104786,4227,3618,4842,1570,515,207136.39661946858,127705.20416775536,79431.19245171324,2097,24.0,65.0,0.039072695608443876,0.07659578467289879,1421.0,4137,-0.9767,0.942,-6.796610169491526,0.2659665136408055,12.602580645161291,12.602580645161291,37,0.49609652235628104,30.211782391236188,36,78,86
MACARTH1,91097,988860.5346841967,36.38076515602419,882.2707766990294,503331.7053578289,485528.82932636776,5631,3969,5265,2272,931,185443.67272082635,103321.26617081405,82122.40655001231,2351,24.0,62.0,0.03420760257115839,0.06526465447888323,3270.0,3699,-1.0,1.0,-7.875,0.15376364007875115,12.903225806451614,12.903225806451614,38,0.4175102113301367,18.348653200286638,39,69,84
MCKAY1,268343,911523.2201782446,3.424619531513058,134.59533830400002,576489.452244849,335033.7679333956,7812,12519,5815,2577,712,97268.13329850232,89387.879827548,7880.253470954318,696,24.0,89.0,0.07825182418925386,0.0648808948279324,5310.0,6151,-1.0,1.0,-7.4074074074074066,0.4687100587547969,1.7719298245614037,7.4074074074074066,39,0.0890937019969278,11.442380930305683,46,18,78
