scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,PUMP2,26,11,0.0,126.78571428571426,126.78571428571426,0.0,0.0,203
lower,QPSFB2,5,3,0.0,0.0,0.0,0.0,0.0,203
lower,SWANBBF1,9,2,0.0,0.0,0.0,0.0,0.0,203
lower,TARBESS1,24,10,0.0,0.0,0.0,0.0,0.0,203
lower,TNPS1,134,47,0.0,1484.9946886386633,1484.9946886386633,0.0,0.0,203
lower,WILLBES1,2,2,0.0,0.0,0.0,0.0,0.0,203
overall,TUMUT3,3716,1163,627932.9787614658,121190.74183932814,749123.720600794,168.98088771837075,0.26264800861141013,1
overall,NEWENSF2,13143,4731,489567.7345652797,51804.42069698139,541372.155262261,37.24931405046638,0.6976337213725938,2
overall,NEWENSF1,13143,4731,487138.80791522935,49096.51503706115,536235.3229522905,37.064506422828075,0.6965685155596135,3
overall,METZSF1,13906,4957,205486.56384003555,50407.163494311644,255893.72733434718,14.776827544947185,0.5839925212138645,4
overall,UPPTUMUT,3716,1163,193078.72932888084,44335.27085837816,237414.000187259,51.95875385599592,0.3129709364908504,5
overall,LDBESS1,2540,823,189408.27000715624,2326.669138149317,191734.93914530557,74.5701850421875,0.1984251968503937,6
overall,STAN-2,2109,756,183766.03728466283,81925.29465915076,265691.3319438136,87.13420449723226,0.38264580369843526,7
overall,STAN-1,2109,756,168336.2044749015,67711.96193031331,236048.16640521478,79.81802013983001,0.3911806543385491,8
overall,STAN-4,2109,756,162594.10310929685,65290.35164831825,227884.4547576151,77.09535472228394,0.3627311522048364,9
overall,STAN-3,2109,756,141086.76758226083,62237.18457515241,203323.95215741324,66.89747158950253,0.35988620199146515,10
overall,CPP_3,2149,771,139986.1675740622,86519.87779179223,226506.0453658544,65.14014312427277,0.3140995812005584,11
overall,GNNDHSF1,11265,3918,124470.87204986918,36777.111864738494,161247.98391460767,11.049345055469967,0.5097203728362184,12
overall,ALDGASF1,1305,464,120716.71371643772,163792.89043302464,284509.6041494623,92.50322890148485,0.3739463601532567,13
overall,BW01,6658,2108,117926.35604878937,17428.33609788419,135354.69214667357,17.711978979992395,0.5419044758185642,14
overall,KPP_1,3217,1080,117397.26609659653,10380.395319732595,127777.66141632912,36.49277777326594,0.3341622629779297,15
overall,CPP_4,2138,766,117278.60653983522,84804.72238887126,202083.32892870647,54.85435291853846,0.29466791393826003,16
overall,SAPHWF1,14625,5135,110939.31343557905,78905.92895388424,189845.2423894633,7.585594081065234,0.4358974358974359,17
overall,BW03,6520,2065,103241.0309218888,17826.570588017188,121067.60150990599,15.834513945074969,0.5185582822085889,18
overall,DAYDSF1,2109,756,101238.68297380926,84181.10797101147,185419.79094482074,48.00316878796077,0.41014698909435754,19
overall,BBATTERY1,2109,756,97410.14090184163,70739.60097100405,168149.74187284568,46.187833523869905,0.29871977240398295,20
overall,BW02,6658,2108,93874.86413697075,14390.363067078264,108265.227204049,14.099559047307112,0.406878942625413,21
overall,CLARESF1,2109,756,91917.87720613832,56509.878418219974,148427.7556243583,43.58363072837284,0.43053579895685157,22
overall,WDGPH1,2177,780,90882.63291180358,59639.89259554849,150522.52550735205,41.746730781719606,0.4547542489664676,23
overall,BW04,6520,2065,90728.31905716183,14162.273189854974,104890.59224701682,13.915386358460404,0.4647239263803681,24
overall,CLRKCWF1,1678,592,89487.08352155657,54766.82351680298,144253.90703835958,53.32960877327567,0.3951132300357569,25
overall,RRSF1,2109,756,89361.43863859544,94615.99619802226,183977.4348366177,42.3714739870059,0.42769084874348035,26
