scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,HVWWPV1,13,7,4.537880962643153,0.2607975272621583,4.798678489905312,0.34906776635716563,0.5384615384615384,163
lower,CBWWBA1,13,7,2.1067961165048543,2.082860315442664,4.189656431947519,0.16206123973114264,0.15384615384615385,164
lower,SNOWNTH1,13,7,1.1939559007551248,12.821598784184697,14.015554684939822,0.09184276159654806,0.07692307692307693,165
lower,BOWWBA1,13,7,0.43149946062567424,0.3421605655272841,0.7736600261529584,0.03319226620197494,0.15384615384615385,166
lower,HUMEV,915,308,0.24411085450346454,0.24411085450346393,0.4882217090069285,0.00026678781912946943,0.003278688524590164,167
lower,BOWWPV1,13,7,0.1358916478555305,0.1864756476683938,0.3223672955239243,0.010453203681194654,0.07692307692307693,168
lower,SNOWSTH1,13,7,0.03261357512953367,7.978173322255147,8.010786897384682,0.0025087365484256666,0.07692307692307693,169
lower,ANGAST1,13,7,0.0,37.30393905191874,37.30393905191874,0.0,0.0,170
lower,BDL01,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,BDL02,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,BOLIVPS1,13,7,0.0,57.02642564450971,57.02642564450971,0.0,0.0,170
lower,BULBESG1,143,51,0.0,11.065703022339028,11.065703022339028,0.0,0.0,170
lower,CGBESS01,51,25,0.0,0.0,0.0,0.0,0.0,170
lower,DRYCGT1,13,7,0.0,0.0,0.0,0.0,0.0,170
lower,DRYCGT2,13,7,0.0,0.0,0.0,0.0,0.0,170
lower,DRYCGT3,13,7,0.0,0.0,0.0,0.0,0.0,170
lower,HBESSG1,6,3,0.0,0.0,0.0,0.0,0.0,170
lower,HBESSL1,6,3,0.0,0.0,0.0,0.0,0.0,170
lower,JLA04,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,JLB02,408,143,0.0,37.37236533957846,37.37236533957846,0.0,0.0,170
lower,LBBL1,23,6,0.0,75.0,75.0,0.0,0.0,170
lower,LGAPBS1,244,119,0.0,0.0,0.0,0.0,0.0,170
lower,LONSDALE,13,7,0.0,0.0,0.0,0.0,0.0,170
lower,MRNBESS1,97,37,0.0,16.172506738544474,16.172506738544474,0.0,0.0,170
lower,PIBESSG1,6,3,0.0,0.0,0.0,0.0,0.0,170
lower,PIBESSL1,6,3,0.0,0.0,0.0,0.0,0.0,170
lower,PLBESS1,320,106,0.0,0.0,0.0,0.0,0.0,170
lower,POR01,1076,413,0.0,0.0,0.0,0.0,0.0,170
lower,POR03,1076,413,0.0,0.0,0.0,0.0,0.0,170
lower,PTSTAN1,13,7,0.0,0.0,0.0,0.0,0.0,170
lower,SNUG1,2734,1083,0.0,0.0,0.0,0.0,0.0,170
lower,TB2BG1,33,9,0.0,0.0,0.0,0.0,0.0,170
lower,TB2BL1,33,9,0.0,18.9,18.9,0.0,0.0,170
lower,TEMPB1,12,6,0.0,0.0,0.0,0.0,0.0,170
lower,VPGS1,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,VPGS2,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,VPGS3,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,VPGS4,408,143,0.0,0.0,0.0,0.0,0.0,170
lower,VPGS5,408,143,0.0,53.07804510538642,53.07804510538642,0.0,0.0,170
lower,VPGS6,408,143,0.0,0.0,0.0,0.0,0.0,170
overall,KIAMSF1,11975,4860,415723.7223355656,115902.68923087524,531626.4115664408,34.71596846226018,0.43031315240083506,1
overall,LIMOSF11,10302,4145,412099.7196032339,83503.38872312248,495603.1083263564,40.00191415290564,0.42593671131819066,2
overall,MUWAWF1,11767,4778,285821.7898033967,118345.60766336444,404167.3974667611,24.29011556075437,0.3209824084303561,3
overall,SUNRSF1,10302,4145,283596.13453358295,73419.17229722482,357015.30683080776,27.52826000131848,0.44612696563774024,4
overall,WEMENSF1,11637,4710,277160.42493656045,93236.09279834814,370396.5177349086,23.81717151641836,0.42777348113775027,5
overall,BANN1,11637,4710,255240.963219789,84997.40571633074,340238.3689361198,21.933570784548337,0.434304373979548,6
overall,KARSF1,11911,4835,237850.5297944803,60694.75637807033,298545.28617255064,19.96898075681977,0.4222987154730921,7
overall,KESSB1,9524,3900,222237.9093333789,88879.06470575332,311116.9740391322,23.334513789728987,0.13502729945401093,8
overall,YATSF1,11911,4835,208457.17032931704,56792.54653861632,265249.71686793334,17.5012316622716,0.4379984887918731,9
overall,MURRAY,5720,2230,187228.17441161617,67798.92708503554,255027.1014966517,32.73219832370912,0.17937062937062936,10
overall,MUWAWF2,11786,4783,160823.590089907,117102.32722424719,277925.91731415415,13.645307151697523,0.3465976582385882,11
overall,BLYTHB1,1652,857,143817.2214954031,15109.067633374087,158926.28912877716,87.05642947663625,0.30447941888619856,12
overall,GSWF1A,3917,1755,129148.3948012584,44119.57172652721,173267.9665277856,32.97125218311422,0.5527189175389329,13
overall,MOORAWF1,5097,1968,128324.34674761626,94576.96505041065,222901.3117980269,25.176446291468757,0.4963704139690014,14
