CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
VS_600_TEST,VS_600_TEST|2025-04-11 00:00:00|2,upper,2025-04-11,2,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",5849,1089,1259,2988,2714,3.8540319445924345,-1.0000000088439265e-05,503.66769999999997,S-NIL,
V::N_NIL_O2,V::N_NIL_O2|2024-10-31 00:00:00|1,upper,2024-10-31,1,0.354,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, Other than VIC accelerates. Yallourn W G1 on 500kV.",107154,711,1096,3610,2682,0.27343572247864273,-2.8248587820449903e-05,3163.3916242937858,V-NIL,
V::N_NIL_V2,V::N_NIL_V2|2025-12-09 00:00:00|1,upper,2025-12-09,1,0.478,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 500kV.",59697,1426,1734,3632,2626,1.4947664805595247,-4.1841004078462036e-05,2086.2044612970712,V-NIL,
I_6F_SN_150,I_6F_SN_150|2026-01-12 00:00:00|1,lower,2026-01-12,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),4908,99,171,2666,2527,70.26901298084759,-1.0000000003174137e-05,510.665505,"I-6F_SN_150, N-NIL",
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-10-20 00:00:00|1,lower,2025-10-20,1,-0.27,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",12403,1342,1322,2688,2405,21.08863651775774,-7.407407409758619e-05,2462.7406666666666,V-NIL,
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-01-29 00:00:00|1,lower,2025-01-29,1,-0.215,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",8101,1547,1435,2474,2284,87.61921715033421,-9.302325584348035e-05,25243.772186046514,V-NIL,
F_S++HYSE_L5,F_S++HYSE_L5|2024-10-09 00:00:00|1,upper,2024-10-09,1,1.0,FCAS,"Out = Equipment west of MLTS or Moorabool to Sydenham, SA Lower 5 min Requirement for risk of islanding, considering action of Lake Bonney WF trip scheme",4703,442,351,2989,2263,0.031519516481516366,-628.8100400000001,-228.01280500000001,"F-I-HYSE, F-V-X_HYTX_TWO, F-V_HYTA_HYMO_N-2, I-HYSE, I-HYSE_BC-2CP, I-X_BDBU+HYSE, V-CRHG, V-CRML, V-CRML1, V-CRML2, V-CRMO, V-HGMO, V-HGMO_CRMO_N-2, V-HGMO_CRMO_N-2_M1, V-HGMO_CRMO_N-2_M2, V-HGTR, V-HYMO, V-HYTR, V-MOTR, V-X_CR_HG_TR, V-X_HY_MO_CR, V-X_MLSY, V-X_MLSY_M1, V-X_MLSY_M2, V-X_ML_BUSTIE_500, V-X_ML_BUSTIE_500_M1, V-X_ML_BUSTIE_500_M2","F-I-HYSE, I-HYSE, I-HYSE_BC-2CP, I-X_BDBU+HYSE, V-CRML, V-CRML1, V-CRMO, V-HGMO, V-HGMO_CRMO_N-2_M2, V-HGTR, V-HYMO, V-HYTR, V-MOTR, V-X_ML_BUSTIE_500_M1"
VS_600_TEST,VS_600_TEST|2025-05-01 00:00:00|1,upper,2025-05-01,1,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",8260,222,472,3361,2228,1.444514440677966,-1.0000000088439265e-05,604.21669,S-NIL,
F_S++HYSE_R5,F_S++HYSE_R5|2024-10-09 00:00:00|1,lower,2024-10-09,1,-1.0,FCAS,"Out = Equipment west of MLTS or Moorabool to Sydenham, SA Raise 5 min Requirement for risk of islanding, considering action of Lake Bonney WF trip scheme",4703,1477,1236,2930,2194,0.2952246526227532,-580.48406,-105.32547,"F-I-HYSE, F-V-X_HYTX_TWO, F-V_HYTA_HYMO_N-2, I-HYSE, I-HYSE_BC-2CP, I-X_BDBU+HYSE, V-CRHG, V-CRML, V-CRML1, V-CRML2, V-CRMO, V-HGMO, V-HGMO_CRMO_N-2, V-HGMO_CRMO_N-2_M1, V-HGMO_CRMO_N-2_M2, V-HGTR, V-HYMO, V-HYTR, V-MOTR, V-X_CR_HG_TR, V-X_HY_MO_CR, V-X_MLSY, V-X_MLSY_M1, V-X_MLSY_M2, V-X_ML_BUSTIE_500, V-X_ML_BUSTIE_500_M1, V-X_ML_BUSTIE_500_M2","F-I-HYSE, I-HYSE, I-HYSE_BC-2CP, I-X_BDBU+HYSE, V-CRML, V-CRML1, V-CRMO, V-HGMO, V-HGMO_CRMO_N-2_M2, V-HGTR, V-HYMO, V-HYTR, V-MOTR, V-X_ML_BUSTIE_500_M1"
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-02-26 00:00:00|1,lower,2025-02-26,1,-0.237,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",9452,1175,1126,2251,2170,48.821343960326445,-8.438818544094876e-05,43499.097088607596,V-NIL,
