DUID,net_mw,tightening_mw,relief_mw,events
GULLRWF2,-914.5384102493433,305.1128934180678,1219.6513036674112,14
DPNTB1,-36.60782059261322,304.27733139956496,340.8851519921782,14
MCINTYR1,30.05417479177487,297.0962413659445,267.04206657416967,27
BODWF1,131.7925198272528,280.24404295165556,148.4515231244027,21
MOREESF1,140.37441160394891,278.40561761138594,138.03120600743705,33
BHB1,153.44571428571425,275.636168959971,122.19045467425671,14
DDSF1,23.220470244964048,274.67724673153873,251.45677648657468,27
WYASF1,-424.7938743543645,256.9615932338009,681.7554675881654,14
ORABESS1,246.6800296122875,256.8359915747092,10.155961962421713,9
CRURWF1,40.9779901308939,254.828984969219,213.85099483832508,21
BARRON-2,-206.69223889145832,252.95034703552523,459.64258592698354,27
RESS1,62.05730561218273,252.6734910386077,190.61618542642498,14
WDBESSG1,11.75864,245.45845000000003,233.69980999999999,4
BW04,151.12436313520047,242.52239222413328,91.3980290889328,21
NYNGAN1,-111.23643272795064,231.68696558683794,342.9233983147886,21
KEPSF1,-183.54816994380298,226.9562114084547,410.5043813522577,27
BOMENSF1,-1224.4169985849496,219.08498470352032,1443.5019832884698,14
TARONG#3,-27.64862612827823,212.97695218334547,240.6255783116237,27
OAKEY2SF,14.401637013479926,198.2407323171791,183.8390953036991,12
YARANSF1,20.62211389245369,195.61629571132542,174.9941818188717,12
WRSF1,37.56823470598796,193.72716567268057,156.15893096669262,33
LDBESS1,182.67223382045933,188.64512616331646,5.9728923428571425,10
MOLNGSF1,51.942071794521226,176.93517141089146,124.99309961637024,21
MANSLR1,-43.529757712367605,171.85072680740197,215.3804845197696,21
GUSF1,-123.14123809224319,165.51292467505243,288.6541627672956,5
WSTWYSF1,-1134.920218386061,165.02385839231317,1299.9440767783742,14
TARONG#1,0.8685295658355427,157.70784660350137,156.8393170376658,27
ERB01,-86.80705712943632,157.34297094989563,244.15002807933197,5
KINGASF1,-12.145592194967845,145.05686161923015,157.202453814198,27
GULLRWF1,-1059.6302659161586,139.11113174213187,1198.7413976582905,14
BRAEMAR1,115.40258323268017,135.02410380261247,19.621520569932304,27
WAGGNSF1,-454.30730776817416,133.00984083632179,587.317148604496,14
NEVERSF1,-79.8476240617887,128.94927826096858,208.79690232275732,21
GOONSF1,-235.91807027426088,123.70084874858338,359.61891902284424,19
YABULU,119.22830274461008,119.22830274461008,-0.0,27
LIMOSF21,-76.70545120014998,117.49467199506395,194.20012319521393,14
CRWASF1,-143.27372502788285,116.7552035976795,260.02892862556234,14
BRAEMAR6,21.839385308300393,115.3783800909091,93.53899478260871,27
PARSF1,-14.786342400920901,115.34608741572094,130.13242981664183,19
YABULU2,115.03222094361335,115.03222094361335,-0.0,27
MPP_2,17.43762172075749,112.56224239473757,95.12462067398009,27
WTAHB1,27.80151216453652,105.96317030255769,78.16165813802117,13
CROOKWF3,-454.6272571473143,101.85530174619291,556.4825588935072,14
BRDDSF01,25.87951730607964,95.55878180293502,69.67926449685538,3
MARYRSF1,18.581052254182914,93.54689811021018,74.96584585602724,12
WARWSF1,57.71794766255662,88.72975211920429,31.01180445664767,12
GUNNING1,-321.88833698594607,85.61362106569979,407.5019580516458,14
WOODLWN1,-138.5688532335315,85.1696730645395,223.738526298071,14
WARWSF2,60.75196781833623,84.43755746916628,23.685589650830032,12
CROOKWF2,-1127.8858768110156,76.44233081798399,1204.3282076289997,14
WAMBOWF1,-40.82198877631591,61.666296024986806,102.48828480130271,14
BERYLSF1,-111.39953241130665,59.46075036234477,170.86028277365142,21
WANDSF2,57.25806421383648,57.25806421383648,-0.0,2
TARALGA1,-1242.8587675214865,57.131143308100036,1299.989910829587,14
OAKEY1SF,21.732211855718518,55.641700817475105,33.90948896175659,12
OAKEY2,-3.855018301886801,46.40376903563941,50.258787337526215,12
ER01,3.7098075399010986,44.94600450143541,41.23619696153431,13
JUNEESF1,-412.1216946169622,42.64646476139892,454.76815937836113,14
GULLRSF1,-90.69770086038547,41.32005752337089,132.01775838375633,14
SEBSF1,-750.7798876112472,36.25977448894149,787.0396621001887,14
CPSA,31.13830591840026,31.138305918400256,-0.0,27
BARCALDN,30.759493670886073,30.759493670886073,-0.0,27
BUSF1,2.8367924528301884,28.212358490566036,25.375566037735847,1
TALWA1,-191.83369400000004,26.0,217.83369400000004,9
ER03,0.5590771744984349,25.522888925335515,24.963811750837078,12
CG3,-29.53244774919983,25.35627849686848,54.88872624606831,13
BRAEMAR2,13.78949,22.78949,9.0,27
SWANBBF1,-103.76470588235294,18.836714509803926,122.60142039215688,4
SNOWYP,18.790558375634518,18.790558375634518,-0.0,14
TNPS1,-4.156755692205039,17.973529411764705,22.130285103969747,27
ER04,-33.15159824183207,14.486774756440559,47.63837299827263,12
CG4,-42.981744538796015,12.486469311064718,55.46821384986073,13
