season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets,contraction_abs_impact,contraction_tightening,contraction_relief,contraction_positive_rows
Spring,lower,JLA03,267,113.625,0.22279411764705884,17.990624999999785,0.0,113.625,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JLA04,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JLB01,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JLB02,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JLB03,267,113.625,0.22279411764705884,17.990624999999785,0.0,113.625,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JUNEESF1,598,3731.5603914543635,6.609403637647964,30.02081118300698,1516.8337202098246,2214.726671244539,135,37,4,23,1,1002.9894817703027,503.67209353979587,499.31738823050694,60
Spring,lower,KARSF1,3848,213500.59865130723,51.77796282869349,358.49056603773585,128839.60750973744,84660.99114156979,1233,173,1778,498,330,80525.72162066767,53541.84165759827,26983.879963069416,421
Spring,lower,KERNGSP1,1995,37593.4942639334,18.717054534827483,111.69593174528302,20507.507688727663,17085.986575205734,784,110,648,343,214,14966.715094087127,8894.408144635947,6072.30694945118,217
Spring,lower,KESSB1,1994,151912.46861514787,81.64257476917035,757.781222264151,86739.75680199028,65172.711813157606,784,110,648,343,214,68853.44344083141,46946.22130118884,21907.222139642585,143
Spring,lower,KIAMSF1,3848,485998.33694481186,118.82458769716068,694.9165100235849,285578.37692980387,200419.960015008,1233,173,1778,498,330,182758.58356698847,116272.78990105535,66485.7936659331,430
Spring,lower,KIATAWF1,3706,74488.43396475608,20.335629654106913,210.7239768932039,43082.43496727946,31405.998997476618,1182,172,1778,492,330,25329.99651644813,18682.761297069294,6647.2352193788365,404
Spring,lower,LADBROK1,10,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0.0,0.0,0.0,0
Spring,lower,LADBROK2,10,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0.0,0.0,0.0,0
Spring,lower,LBB1,10,15.111760660247594,1.5111760660247593,4.266850068775791,12.444979367262723,2.6667812929848695,2,0,0,2,0,4.266850068775791,4.266850068775791,0.0,1
Spring,lower,LIMBESS1,39,0.0,0.0,0.0,0.0,0.0,16,0,5,6,4,0.0,0.0,0.0,0
Spring,lower,LIMOSF11,49274,638163.9938409973,12.751820422513148,72.94469531499999,375222.51183415856,262941.48200683884,2257,2185,2295,786,417,161797.0395627945,104902.12603383671,56894.913528957804,752
Spring,lower,LIMOSF21,49274,99259.73842653609,1.9824156595764046,10.9219771,57110.61620831436,42149.12221822174,2257,2185,2295,786,417,24831.3657185778,16320.09218601475,8511.273532563051,808
