DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
BULGANA1,109655,742894.9845739313,9.809592468073243,192.15317960161659,396717.5171607896,346177.46741314174,10025,5976,18496,4015,2569,129479.5562477025,72221.45931333375,57258.096934368754,3900,24.0,48.0,0.0046085795831103,-0.00010641341046078648,1351.0,4613,-1.0,0.968,-1.8518518518518516,1.112607455741851,11.252983293556085,11.252983293556085,25,0.38902743142144636,7.204135592352493,28,28,29
BLYTHB1,10539,706323.1258681054,35.01218987427398,512.8787878787879,446545.34449308505,259777.78137502045,1652,437,4208,857,688,158926.28912877716,143817.2214954031,15109.067633374087,503,22.0,13.0,0.2526032249062808,0.30270742551486196,1925.0,1229,-0.998,1.0,-14.124293785310734,-2.235551541398609,2.5534950071326676,14.124293785310734,26,0.30447941888619856,87.05642947663625,12,135,120
PAREPW1,55593,659874.357907543,39.116515084792155,485.7199372641508,368942.41543157713,290931.9424759658,2789,2313,9042,1297,1075,129584.44260885258,91384.80157332007,38199.641035532506,1382,22.0,18.0,0.03883997265437415,-0.07913448252649208,4641.0,1455,-0.988,1.0,-10.683760683760683,-3.0238952506628687,6.7902995720399435,10.683760683760683,27,0.49551810684833275,32.766153307034806,21,80,77
BRYB1WF1,34626,646147.1407002155,31.05862473746404,900.4424565756824,323191.8879764559,322955.25272375956,5123,1520,9750,1977,1186,133080.1323689226,73367.52808348025,59712.60428544235,2607,24.0,43.0,0.051078469819891725,0.023254189938080868,1068.0,4091,-0.9767,0.971,-1.6444444444444444,0.9656585824954756,6.676258992805755,6.676258992805755,28,0.5088815147374586,14.321203998336962,27,95,63
HD1WF1,64552,577973.7981001115,11.604408415061059,119.27210884353741,294393.99522955465,283579.8028705569,6214,3349,12177,2393,1495,78922.02589948362,45875.349801195254,33046.67609828836,2661,24.0,52.0,0.07099523003444635,0.02937410311736123,2152.0,4101,-1.0,1.0,-1.1806375442739079,0.9497711256841703,2.0964360587002098,2.0964360587002098,29,0.42822658513035083,7.382579626841849,39,61,56
YENDWF1,57384,556334.6061697033,27.598004148108213,998.8543673012317,316922.2366828348,239412.36948686853,6158,3035,11674,2396,1499,116034.408870428,73935.47154184636,42098.93732858164,2759,24.0,44.0,0.016610406393873883,0.008463665466843004,749.0,4121,-0.9444,0.9992,-2.1645569620253164,0.9516874436567463,8.002481389578163,8.002481389578163,30,0.44803507632348166,12.006409798935753,26,63,58
MRTLSWF1,34624,535179.4917640835,27.554775065584636,529.4999354962778,277982.53811238124,257196.9536517023,5122,1520,9749,1976,1186,102761.04508831435,58609.38002912824,44151.6650591861,2602,24.0,43.0,0.049893722698476244,0.008292683851955779,805.0,4067,-0.9838,0.979,-1.422222222222222,0.9514162704441602,6.820143884892086,6.820143884892086,31,0.5080046856696603,11.442674742117969,34,95,65
HPR1,85064,515322.26107130834,17.13542443183763,284.3853820598007,282099.19010967395,233223.07096163445,3914,3461,16983,1752,1595,79770.14466367073,55110.004969902926,24660.139693767804,1510,24.0,19.0,0.06757074551344368,-0.07471590840526142,9273.0,1622,-0.982,1.5,-10.658616904500548,-2.631072999462026,12.239657631954351,12.239657631954351,32,0.38579458354624424,14.080226103705398,36,48,32
BHB1,130344,511128.1540005812,4.529508707494062,136.40000000000003,275339.228199511,235788.92580107017,10312,6871,22401,4151,2930,54402.18057678481,30781.06856139357,23621.112015391245,1220,24.0,39.0,0.011212440682617416,0.00937466025432544,3987.0,4105,-0.997,1.0,-9.385749385749385,0.6076241620127323,13.426183844011142,13.426183844011142,33,0.1183087664856478,2.9849756168923167,56,21,20
BRYB2WF2,34626,510123.36938863434,34.13463017567263,644.9158188585608,264380.22778418555,245743.14160444873,5123,1520,9750,1977,1186,107408.2659748567,64896.47181415796,42511.79416069874,2512,24.0,43.0,0.049110622098277386,0.02495891219162078,367.0,4091,-0.9767,0.971,-1.6444444444444444,0.9656585824954756,6.676258992805755,6.676258992805755,34,0.49033769275814953,12.667669688494623,30,95,63
CROWLWF1,102175,503456.3288538844,10.885318502127836,504.0675811870099,263229.4487513887,240226.88010249575,9516,5541,17560,3840,2482,89558.65238696281,48158.89027176212,41399.762115200705,3966,24.0,47.0,0.00671367061040231,0.004933883441115879,435.0,4558,-1.0,1.0,-1.8518518518518516,1.1284927585715956,11.694510739856801,11.694510739856801,35,0.4167717528373266,5.060833361891773,38,30,30
WGWF1,85049,476816.24168588384,18.10263674019186,229.36309523809504,253414.7199691842,223401.52171669964,3912,3461,16981,1751,1594,68277.48080869275,42781.17484104603,25496.305967646724,1945,24.0,18.0,0.03155871956843767,-0.09597862200769705,2616.0,1615,-0.982,1.5,-8.951456310679612,-2.71919961348317,6.7902995720399435,8.951456310679612,36,0.4971881390593047,10.935883139326695,40,48,45
LKBONNY1,173965,476596.21629048843,2.962392872382643,25.581292517006794,249697.341389419,226898.87490106944,5403,8536,23629,2364,2570,27050.971174777922,20558.02385111671,6492.947323661208,2681,24.0,60.0,0.13632839515153222,0.10348943464812543,15736.0,7075,-1.09,1.1,-1.7806267806267806,-0.8442812362676546,0.193,1.7806267806267806,37,0.49620581158615584,3.8049276052409238,77,1,12
TB2SF1,94619,436024.5057616427,7.868468827297547,338.5135033557046,287135.485850575,148889.01991106776,2061,4646,8161,857,972,94642.00724431971,91508.35649096566,3133.6507533540653,1122,24.0,33.0,0.1625829103069018,0.118732422459373,5563.0,3806,-1.0,1.0,-14.245014245014245,-0.7087516648222653,6.4935064935064934,14.245014245014245,38,0.5443959243085881,44.39997888935743,20,32,91
